,FID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,Latitude,Longitude,Centroid_l,Total_Numb,Average_Be,Total_Case,Total_Deat,Area,IB,IB_S,AB_S,TC_S,TDC_S
32,24,36,1779796,0400000US36,36,NY,New York,42.9403992,-75.5030975,42.9403992,4230,63.0,497527,32446,141300,4230,0.523926,0.7726270000000001,0.5367962741022801,1.0
33,1,37,1027616,0400000US37,37,NC,North Carolina,35.5415001,-79.37239840000001,35.5415001,2648,55.0,264115,4200,139390,2648,0.7085670000000001,0.5960260000000001,0.28386780778424814,0.127887
34,45,38,1779797,0400000US38,38,ND,North Dakota,47.4463005,-100.46900179999999,47.4463005,516,37.0,38816,466,183272,516,0.9574,0.198675,0.03973070029626002,0.0125973
35,42,39,1085497,0400000US39,39,OH,Ohio,40.2914009,-82.79010009999999,40.2914009,3731,50.0,203417,5217,116096,3731,0.582166,0.485651,0.2180946168233211,0.15928699999999998
36,2,40,1102857,0400000US40,40,OK,Oklahoma,35.5834999,-97.50830079999999,35.5834999,1475,42.0,118491,1251,181038,1475,0.8454719999999999,0.309051,0.12606763050502906,0.0368346
37,44,41,1155107,0400000US41,41,OR,Oregon,43.9365997,-120.5550003,43.9365997,838,50.0,43430,657,254800,838,0.919818,0.485651,0.04473049440963636,0.0184945
38,18,42,1779798,0400000US42,42,PA,Pennsylvania,40.8737984,-77.7995987,40.8737984,3929,54.0,199791,8737,119283,3929,0.559057,0.573951,0.21416543315294775,0.26797
39,40,44,1219835,0400000US44,44,RI,Rhode Island,41.676101700000004,-71.5535965,41.676101700000004,375,53.0,30586,1184,3999,375,0.9738559999999999,0.551876,0.030812558650597396,0.034766000000000005
40,32,45,1779799,0400000US45,45,SC,South Carolina,33.9080009,-80.89610290000002,33.9080009,1253,53.0,171888,3823,82931,1253,0.871382,0.551876,0.18392935704858274,0.116247
41,13,46,1785534,0400000US46,46,SD,South Dakota,44.436199200000004,-100.23000340000002,44.436199200000004,392,28.0,41193,375,199730,392,0.971872,0.0,0.04230645031955771,0.0097876
42,22,47,1325873,0400000US47,47,TN,Tennessee,35.8429985,-86.343399,35.8429985,2364,49.0,246034,3132,109247,2364,0.741713,0.46357600000000004,0.2642749865090081,0.0949117
43,14,48,1779801,0400000US48,48,TX,Texas,31.484500899999997,-99.35070040000001,31.484500899999997,8719,48.0,924989,16963,695662,8719,0.0,0.44150100000000003,1.0,0.521953
44,21,49,1455989,0400000US49,49,UT,Utah,39.3237991,-111.6780014,39.3237991,716,42.0,109365,575,219882,716,0.934057,0.309051,0.11617857088676452,0.0159627
45,29,50,1779802,0400000US50,50,VT,Vermont,44.075199100000006,-72.6626968,44.075199100000006,151,61.0,2151,58,24923,151,1.0,0.728477,0.0,0.0
46,3,51,1779803,0400000US51,51,VA,Virginia,37.5149994,-78.8122025,37.5149994,2022,55.0,175045,3581,110786,2022,0.781629,0.5960260000000001,0.18735032584267228,0.108775
47,11,53,1779804,0400000US53,53,WA,Washington,47.3810005,-120.4469986,47.3810005,1685,55.0,118094,2428,184661,1685,0.8209620000000001,0.5960260000000001,0.12563743582297218,0.0731753
48,4,54,1779805,0400000US54,54,WV,West Virginia,38.642601,-80.61370090000001,38.642601,677,48.0,24692,424,62755,677,0.938609,0.44150100000000003,0.024425738862075465,0.0113005
49,43,55,1779806,0400000US55,55,WI,Wisconsin,44.638000500000004,-90.01170350000001,44.638000500000004,1586,41.7,221849,1825,169634,1586,0.832516,0.30242800000000003,0.2380677865454175,0.0545572
50,23,56,1779807,0400000US56,56,WY,Wyoming,42.9995995,-107.5510025,42.9995995,1069,54.1,11735,77,253334,1069,0.892857,0.576159,0.010385354742652557,0.0005866000000000001
