day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,1,0,0,0,0
28,1,1,0,0,0,0
29,1,1,0,0,0,0
30,1,1,0,0,0,0
31,1,1,0,0,0,0
1,2,1,0,0,0,0
2,2,1,0,0,0,0
3,2,1,0,0,0,0
4,2,1,0,0,0,0
5,2,1,0,0,0,0
6,2,1,0,0,0,0
7,2,1,0,0,0,0
8,2,1,0,0,0,0
9,2,1,0,0,0,0
10,2,1,0,0,0,0
11,2,1,0,0,0,0
12,2,1,0,0,0,0
13,2,1,0,0,0,0
14,2,1,0,0,0,0
15,2,1,0,0,0,0
16,2,1,0,0,0,0
17,2,1,0,0,0,0
18,2,1,0,0,0,0
19,2,1,0,0,0,0
20,2,1,0,0,0,0
21,2,1,0,0,0,0
22,2,1,0,0,0,0
23,2,1,0,0,0,0
24,2,1,0,0,0,0
25,2,1,0,0,0,0
26,2,1,0,0,0,0
27,2,1,0,0,0,0
28,2,1,0,0,0,0
29,2,1,0,0,0,0
1,3,1,0,0,0,0
2,3,1,0,0,0,0
3,3,1,0,0,0,0
4,3,1,0,0,0,0
5,3,1,0,0,0,0
6,3,1,0,0,0,0
7,3,1,0,0,0,0
8,3,1,0,0,0,0
9,3,1,0,0,0,0
10,3,1,0,0,0,0
11,3,1,0,0,0,0
12,3,1,0,0,0,0
13,3,1,6,0,.857,0
14,3,1,12,0,1.71,0
15,3,1,23,0,3.29,0
16,3,1,29,0,4.14,0
17,3,1,39,0,5.57,0
18,3,1,51,0,7.29,0
19,3,1,78,0,11.1,0
20,3,1,106,0,14.3,0
21,3,1,131,0,17,0
22,3,1,157,0,19.1,0
23,3,1,196,0,23.9,0
24,3,1,242,0,29,0
25,3,1,386,1,47.9,.143
26,3,1,538,3,65.7,.429
27,3,1,639,4,76.1,.571
28,3,1,720,4,84.1,.571
29,3,1,830,5,96.1,.714
30,3,1,947,11,107,1.57
31,3,1,999,14,108,2
1,4,1,1108,28,103,3.86
2,4,1,1270,32,105,4.14
3,4,1,1535,38,128,4.86
4,4,1,1632,44,130,5.71
5,4,1,1840,45,144,5.71
6,4,1,2005,53,151,6
7,4,1,2197,64,171,7.14
8,4,1,2498,67,199,5.57
9,4,1,2838,78,224,6.57
10,4,1,3008,80,210,6
11,4,1,3262,93,233,7
12,4,1,3583,93,249,6.86
13,4,1,3805,104,257,7.29
14,4,1,3953,114,251,7.14
15,4,1,4241,123,249,8
16,4,1,4404,137,224,8.43
17,4,1,4572,151,223,10.1
18,4,1,4723,147,209,7.71
19,4,1,4903,160,189,9.57
20,4,1,5078,164,182,8.57
21,4,1,5327,186,196,10.3
22,4,1,5610,201,196,11.1
23,4,1,5832,197,204,8.57
24,4,1,6026,209,208,8.29
25,4,1,6213,213,213,9.43
26,4,1,6421,219,217,8.43
27,4,1,6539,228,209,9.14
28,4,1,6750,242,203,8
29,4,1,6925,262,188,8.71
30,4,1,7068,272,177,10.7
1,5,1,7294,289,181,11.4
2,5,1,7611,288,200,10.7
3,5,1,7888,290,210,10.1
4,5,1,8112,298,225,10
5,5,1,8437,315,241,10.4
6,5,1,8691,343,252,11.6
7,5,1,9046,369,283,13.9
8,5,1,9385,383,299,13.4
9,5,1,9668,390,294,14.6
10,5,1,9889,393,286,14.7
11,5,1,10164,403,293,15
12,5,1,10464,435,290,17.1
13,5,1,10700,450,287,15.3
14,5,1,11101,473,294,14.9
15,5,1,11373,483,284,14.3
16,5,1,11674,485,287,13.6
17,5,1,11771,488,269,13.6
18,5,1,12086,489,275,12.3
19,5,1,12376,504,273,9.86
20,5,1,13052,522,336,10.3
21,5,1,13414,529,330,8
22,5,1,13670,541,328,8.29
23,5,1,14149,549,354,9.14
24,5,1,14478,551,387,9
25,5,1,14986,566,414,11
26,5,1,15650,580,468,10.9
27,5,1,16032,583,426,8.71
28,5,1,16530,591,445,8.86
29,5,1,17031,610,480,9.86
30,5,1,17359,618,459,9.86
31,5,1,17952,630,496,11.3
1,6,1,18534,646,507,11.4
2,6,1,18771,653,446,10.4
3,6,1,18851,653,403,10
4,6,1,19072,653,363,8.86
5,6,1,19387,676,337,9.43
6,6,1,20043,689,383,10.1
7,6,1,20500,692,364,8.86
8,6,1,20925,718,342,10.3
9,6,1,21422,729,379,10.9
10,6,1,21989,744,448,13
11,6,1,22845,755,539,14.6
12,6,1,23710,769,618,13.3
13,6,1,24601,773,651,12
14,6,1,25615,773,731,11.6
15,6,1,26272,774,764,8
16,6,1,26912,785,784,8
17,6,1,27312,790,760,6.57
18,6,1,28206,810,766,7.86
19,6,1,29002,822,756,7.57
20,6,1,29549,838,707,9.29
21,6,1,30021,839,629,9.43
22,6,1,30454,841,597,9.57
23,6,1,31097,864,598,11.3
24,6,1,32064,891,679,14.4
25,6,1,33206,896,714,12.3
26,6,1,34183,907,740,12.1
27,6,1,35083,919,791,11.6
28,6,1,35441,919,774,11.4
29,6,1,37175,929,960,12.6
30,6,1,38045,950,993,12.3
1,7,1,38962,972,985,11.6
2,7,1,40111,985,986,12.7
3,7,1,41865,1006,1097,14.1
4,7,1,42862,1007,1111,12.6
5,7,1,43953,1007,1216,12.6
6,7,1,44878,1007,1100,11.1
7,7,1,45785,1033,1106,11.9
8,7,1,46962,1058,1143,12.3
9,7,1,49174,1068,1295,11.9
10,7,1,50508,1104,1235,14
11,7,1,51947,1114,1298,15.3
12,7,1,53587,1121,1376,16.3
13,7,1,55545,1124,1524,16.7
14,7,1,57255,1164,1639,18.7
15,7,1,59067,1211,1729,21.9
16,7,1,61088,1230,1702,23.1
17,7,1,63091,1265,1798,23
18,7,1,65234,1286,1898,24.6
19,7,1,67011,1287,1918,23.7
20,7,1,68891,1291,1907,23.9
21,7,1,70358,1303,1872,19.9
22,7,1,71813,1364,1821,21.9
23,7,1,74212,1397,1875,23.9
24,7,1,76005,1438,1845,24.7
25,7,1,78130,1456,1842,24.3
26,7,1,79294,1473,1755,26.6
27,7,1,81115,1491,1746,28.6
28,7,1,82366,1491,1715,26.9
29,7,1,83782,1538,1710,24.9
30,7,1,85762,1565,1650,24
31,7,1,87723,1580,1674,20.3
