day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,13,0,0,0,0
28,1,13,0,0,0,0
29,1,13,0,0,0,0
30,1,13,0,0,0,0
31,1,13,0,0,0,0
1,2,13,0,0,0,0
2,2,13,0,0,0,0
3,2,13,0,0,0,0
4,2,13,0,0,0,0
5,2,13,0,0,0,0
6,2,13,0,0,0,0
7,2,13,0,0,0,0
8,2,13,0,0,0,0
9,2,13,0,0,0,0
10,2,13,0,0,0,0
11,2,13,0,0,0,0
12,2,13,0,0,0,0
13,2,13,0,0,0,0
14,2,13,0,0,0,0
15,2,13,0,0,0,0
16,2,13,0,0,0,0
17,2,13,0,0,0,0
18,2,13,0,0,0,0
19,2,13,0,0,0,0
20,2,13,0,0,0,0
21,2,13,0,0,0,0
22,2,13,0,0,0,0
23,2,13,0,0,0,0
24,2,13,0,0,0,0
25,2,13,0,0,0,0
26,2,13,0,0,0,0
27,2,13,0,0,0,0
28,2,13,0,0,0,0
29,2,13,0,0,0,0
1,3,13,0,0,0,0
2,3,13,2,0,.286,0
3,3,13,2,0,.286,0
4,3,13,2,0,.286,0
5,3,13,2,0,.286,0
6,3,13,3,0,.429,0
7,3,13,7,0,1,0
8,3,13,11,0,1.57,0
9,3,13,17,0,2.14,0
10,3,13,22,0,2.86,0
11,3,13,31,0,4.14,0
12,3,13,31,1,4.14,.143
13,3,13,41,1,5.43,.143
14,3,13,65,1,8.29,.143
15,3,13,97,1,12.3,.143
16,3,13,118,1,14.4,.143
17,3,13,142,1,17.1,.143
18,3,13,193,3,23.1,.429
19,3,13,282,10,35.9,1.29
20,3,13,482,14,63,1.86
21,3,13,552,20,69.6,2.71
22,3,13,620,25,74.7,3.43
23,3,13,800,25,97.4,3.43
24,3,13,1095,38,136,5.29
25,3,13,1385,47,170,6.29
26,3,13,1641,56,194,6.57
27,3,13,2198,64,245,7.14
28,3,13,2447,79,271,8.43
29,3,13,2683,83,295,8.29
30,3,13,3032,103,319,11.1
31,3,13,4116,126,432,12.6
1,4,13,4747,154,480,15.3
2,4,13,5444,176,543,17.1
3,4,13,5967,198,538,19.1
4,4,13,6383,208,562,18.4
5,4,13,6742,219,580,19.4
6,4,13,7558,294,647,27.3
7,4,13,9156,348,720,31.7
8,4,13,10204,370,780,30.9
9,4,13,10885,412,777,33.7
10,4,13,11859,425,842,32.4
11,4,13,12261,432,840,32
12,4,13,12103,438,766,31.3
13,4,13,13125,479,795,26.4
14,4,13,13913,517,680,24.1
15,4,13,14583,569,626,28.4
16,4,13,15644,611,680,28.4
17,4,13,16658,661,686,33.7
18,4,13,17014,670,679,34
19,4,13,17619,682,788,34.9
20,4,13,18447,767,760,41.1
21,4,13,19189,810,754,41.9
22,4,13,20099,837,788,38.3
23,4,13,20905,871,752,37.1
24,4,13,21575,889,702,32.6
25,4,13,22225,897,744,32.4
26,4,13,22459,907,691,32.1
27,4,13,23229,981,683,30.6
28,4,13,23607,1022,631,30.3
29,4,13,24300,1086,600,35.6
30,4,13,25431,1121,647,35.7
1,5,13,26436,1153,694,37.7
2,5,13,27268,1161,720,37.7
3,5,13,27618,1168,737,37.3
4,5,13,28350,1228,732,35.3
5,5,13,28876,1277,753,36.4
6,5,13,29724,1309,775,31.9
7,5,13,30524,1332,728,30.1
8,5,13,31089,1378,665,32.1
9,5,13,31481,1380,602,31.3
10,5,13,32267,1383,664,30.7
11,5,13,32448,1420,585,27.4
12,5,13,33311,1470,634,27.6
13,5,13,33866,1494,592,26.4
14,5,13,34422,1521,557,27
15,5,13,35242,1563,593,26.4
16,5,13,35655,1573,596,27.6
17,5,13,35954,1584,527,28.7
18,5,13,36634,1624,598,29.1
