day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,46,0,0,0,0
28,1,46,0,0,0,0
29,1,46,0,0,0,0
30,1,46,0,0,0,0
31,1,46,0,0,0,0
1,2,46,0,0,0,0
2,2,46,0,0,0,0
3,2,46,0,0,0,0
4,2,46,0,0,0,0
5,2,46,0,0,0,0
6,2,46,0,0,0,0
7,2,46,0,0,0,0
8,2,46,0,0,0,0
9,2,46,0,0,0,0
10,2,46,0,0,0,0
11,2,46,0,0,0,0
12,2,46,0,0,0,0
13,2,46,0,0,0,0
14,2,46,0,0,0,0
15,2,46,0,0,0,0
16,2,46,0,0,0,0
17,2,46,0,0,0,0
18,2,46,0,0,0,0
19,2,46,0,0,0,0
20,2,46,0,0,0,0
21,2,46,0,0,0,0
22,2,46,0,0,0,0
23,2,46,0,0,0,0
24,2,46,0,0,0,0
25,2,46,0,0,0,0
26,2,46,0,0,0,0
27,2,46,0,0,0,0
28,2,46,0,0,0,0
29,2,46,0,0,0,0
1,3,46,0,0,0,0
2,3,46,0,0,0,0
3,3,46,0,0,0,0
4,3,46,0,0,0,0
5,3,46,0,0,0,0
6,3,46,0,0,0,0
7,3,46,0,0,0,0
8,3,46,0,0,0,0
9,3,46,0,0,0,0
10,3,46,5,1,.714,.143
11,3,46,8,1,1.14,.143
12,3,46,8,1,1.14,.143
13,3,46,9,1,1.29,.143
14,3,46,9,1,1.29,.143
15,3,46,9,1,1.29,.143
16,3,46,10,1,1.43,.143
17,3,46,11,1,.857,0
18,3,46,11,1,.429,0
19,3,46,14,1,.857,0
20,3,46,14,1,.714,0
21,3,46,14,1,.714,0
22,3,46,21,1,1.71,0
23,3,46,28,1,2.57,0
24,3,46,30,1,2.71,0
25,3,46,41,1,4.29,0
26,3,46,46,1,4.57,0
27,3,46,58,1,6.29,0
28,3,46,68,1,7.71,0
29,3,46,90,1,9.86,0
30,3,46,100,1,10.3,0
31,3,46,107,1,11,0
1,4,46,129,1,12.6,0
2,4,46,165,2,17,.143
3,4,46,187,2,18.4,.143
4,4,46,212,2,20.6,.143
5,4,46,240,2,21.4,.143
6,4,46,288,4,26.9,.429
7,4,46,320,6,30.4,.714
8,4,46,393,6,37.7,.714
9,4,46,447,6,40.3,.571
10,4,46,536,6,49.9,.571
11,4,46,626,6,59.1,.571
12,4,46,729,6,69.9,.571
13,4,46,867,6,82.7,.286
14,4,46,987,6,95.3,0
15,4,46,1168,6,111,0
16,4,46,1311,7,123,.143
17,4,46,1411,7,125,.143
18,4,46,1541,7,131,.143
19,4,46,1635,7,129,.143
20,4,46,1685,7,117,.143
21,4,46,1755,8,110,.286
22,4,46,1858,9,98.6,.429
23,4,46,1956,9,92.1,.286
24,4,46,2040,10,89.9,.429
25,4,46,2147,10,86.6,.429
26,4,46,2213,11,82.6,.571
27,4,46,2246,11,80.1,.571
28,4,46,2314,11,79.9,.429
29,4,46,2375,13,73.9,.571
30,4,46,2450,17,70.6,1.14
1,5,46,2525,21,69.3,1.57
2,5,46,2587,21,62.9,1.57
3,5,46,2630,21,59.6,1.43
4,5,46,2667,21,60.1,1.43
5,5,46,2720,24,58,1.86
6,5,46,2779,29,57.7,2.29
7,5,46,2905,31,65,2
8,5,46,3144,31,88.4,1.43
9,5,46,3393,34,115,1.86
10,5,46,3517,34,127,1.86
11,5,46,3614,34,135,1.86
12,5,46,3663,39,135,2.14
13,5,46,3732,39,136,1.43
14,5,46,3792,43,127,1.71
15,5,46,3887,44,106,1.86
16,5,46,3959,44,80.9,1.43
17,5,46,3987,44,67.1,1.43
18,5,46,4027,44,59,1.43
19,5,46,4085,46,60.3,1
20,5,46,4177,46,63.6,1
21,5,46,4177,47,55,.571
22,5,46,4356,50,67,.857
23,5,46,4468,50,72.7,.857
24,5,46,4563,50,82.3,.857
25,5,46,4586,50,79.9,.857
26,5,46,4653,50,81.1,.571
27,5,46,4710,54,76.1,1.14
28,5,46,4793,54,88,1
29,5,46,4866,59,72.9,1.29
30,5,46,4960,62,70.3,1.71
31,5,46,4993,62,61.4,1.71
1,6,46,5034,62,64,1.71
2,6,46,5066,62,59,1.71
3,6,46,5161,62,64.4,1.14
4,6,46,5247,64,64.9,1.43
5,6,46,5277,65,58.7,.857
6,6,46,5367,65,58.1,.429
7,6,46,5438,65,63.6,.429
8,6,46,5471,65,62.4,.429
9,6,46,5523,68,65.3,.857
10,6,46,5604,69,63.3,1
11,6,46,5665,73,59.7,1.29
12,6,46,5742,74,66.4,1.29
13,6,46,5833,75,66.6,1.43
14,6,46,5898,75,65.7,1.43
15,6,46,5928,75,65.3,1.43
16,6,46,5966,77,63.3,1.29
17,6,46,6050,78,63.7,1.29
18,6,46,6109,78,63.4,.714
19,6,46,6158,81,59.4,1
20,6,46,6225,81,56,.857
21,6,46,6297,81,57,.857
22,6,46,6326,81,56.9,.857
23,6,46,6353,83,55.3,.857
24,6,46,6419,84,52.7,.857
25,6,46,6479,87,52.9,1.29
26,6,46,6535,88,53.9,1
27,6,46,6626,91,57.3,1.43
28,6,46,6681,91,54.9,1.43
29,6,46,6716,91,55.7,1.43
30,6,46,6764,91,58.7,1.14
1,7,46,6826,93,58.1,1.29
2,7,46,6893,97,59.1,1.43
3,7,46,6978,97,63.3,1.29
4,7,46,7028,97,57.4,.857
5,7,46,7063,97,54.6,.857
6,7,46,7105,97,55.6,.857
7,7,46,7163,98,57,1
8,7,46,7242,98,59.4,.714
9,7,46,7336,101,63.3,.571
10,7,46,7401,107,60.4,1.43
11,7,46,7454,109,60.9,1.71
12,7,46,7499,109,62.3,1.71
13,7,46,7524,109,59.9,1.71
14,7,46,7572,109,58.4,1.57
15,7,46,7652,111,58.6,1.86
16,7,46,7694,115,51.1,2
17,7,46,7789,116,55.4,1.29
18,7,46,7862,116,58.3,1
19,7,46,7906,118,58.1,1.29
20,7,46,7943,118,59.9,1.29
21,7,46,8019,118,63.9,1.29
22,7,46,8077,119,60.7,1.14
23,7,46,8143,121,64.1,.857
24,7,46,8200,122,58.7,.857
25,7,46,8305,122,63.3,.857
26,7,46,8395,123,69.9,.714
27,7,46,8444,123,71.6,.714
28,7,46,8492,123,67.6,.714
29,7,46,8641,129,80.6,1.43
30,7,46,8685,129,77.4,1.14
31,7,46,8764,130,80.6,1.14
1,8,46,8867,134,80.3,1.71
2,8,46,8955,135,80,1.71
3,8,46,9020,135,82.3,1.71
4,8,46,9079,136,83.9,1.86
5,8,46,9168,137,75.3,1.14
6,8,46,9273,141,84,1.71
7,8,46,9371,144,86.7,2
8,8,46,9477,146,87.1,1.71
9,8,46,9605,146,92.9,1.57
10,8,46,9663,146,91.9,1.57
11,8,46,9713,146,90.6,1.43
12,8,46,9815,147,92.4,1.43
13,8,46,9897,148,89.1,1
14,8,46,10024,150,93.3,.857
15,8,46,10118,152,91.6,.857
16,8,46,10274,153,95.6,1
17,8,46,10360,153,99.6,1
18,8,46,10443,154,104,1.14
19,8,46,10566,155,107,1.14
20,8,46,10691,157,113,1.29
21,8,46,10884,159,123,1.29
22,8,46,11135,160,145,1.14
23,8,46,11276,161,143,1.14
24,8,46,11425,161,152,1.14
25,8,46,11559,161,159,1
26,8,46,11851,162,184,1
27,8,46,12194,162,215,.714
28,8,46,12517,165,233,.857
29,8,46,12942,167,258,1
30,8,46,13322,167,292,.857
31,8,46,13509,167,298,.857
1,9,46,13749,167,313,.857
2,9,46,14003,169,307,1
3,9,46,14337,169,306,1
4,9,46,14596,170,297,.714
5,9,46,14889,173,278,.857
6,9,46,15109,173,255,.857
7,9,46,15300,173,256,.857
8,9,46,15403,173,236,.857
9,9,46,15571,173,224,.571
10,9,46,15834,177,214,1.14
11,9,46,16117,177,217,1
12,9,46,16437,183,221,1.43
13,9,46,16638,184,218,1.57
14,9,46,16801,184,214,1.57
15,9,46,16994,184,227,1.57
16,9,46,17291,192,246,2.71
17,9,46,17686,193,265,2.29
18,9,46,18075,198,280,3
19,9,46,18444,200,287,2.43
20,9,46,18696,202,294,2.57
21,9,46,18869,202,295,2.57
22,9,46,19189,202,314,2.57
23,9,46,19634,202,335,1.43
24,9,46,20097,210,344,2.43
25,9,46,20554,216,354,2.57
26,9,46,21133,218,384,2.57
27,9,46,21541,218,406,2.29
28,9,46,21738,218,410,2.29
29,9,46,21997,223,401,3
30,9,46,22389,223,394,3
1,10,46,23136,236,434,3.71
2,10,46,23522,237,424,3
3,10,46,23986,248,408,4.29
4,10,46,24418,248,411,4.29
5,10,46,24598,248,409,4.29
6,10,46,24876,248,411,3.57
7,10,46,25906,258,502,5
8,10,46,26441,272,472,5.14
9,10,46,27215,277,528,5.71
10,10,46,27947,286,566,5.43
11,10,46,28564,286,592,5.43
12,10,46,28925,288,618,5.71
