day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,11,0,0,0,0
28,1,11,0,0,0,0
29,1,11,0,0,0,0
30,1,11,0,0,0,0
31,1,11,0,0,0,0
1,2,11,0,0,0,0
2,2,11,0,0,0,0
3,2,11,0,0,0,0
4,2,11,0,0,0,0
5,2,11,0,0,0,0
6,2,11,0,0,0,0
7,2,11,0,0,0,0
8,2,11,0,0,0,0
9,2,11,0,0,0,0
10,2,11,0,0,0,0
11,2,11,0,0,0,0
12,2,11,0,0,0,0
13,2,11,0,0,0,0
14,2,11,0,0,0,0
15,2,11,0,0,0,0
16,2,11,0,0,0,0
17,2,11,0,0,0,0
18,2,11,0,0,0,0
19,2,11,0,0,0,0
20,2,11,0,0,0,0
21,2,11,0,0,0,0
22,2,11,0,0,0,0
23,2,11,0,0,0,0
24,2,11,0,0,0,0
25,2,11,0,0,0,0
26,2,11,0,0,0,0
27,2,11,0,0,0,0
28,2,11,0,0,0,0
29,2,11,0,0,0,0
1,3,11,0,0,0,0
2,3,11,0,0,0,0
3,3,11,0,0,0,0
4,3,11,0,0,0,0
5,3,11,0,0,0,0
6,3,11,0,0,0,0
7,3,11,1,0,.143,0
8,3,11,1,0,.143,0
9,3,11,4,0,.571,0
10,3,11,4,0,.571,0
11,3,11,10,0,1.43,0
12,3,11,10,0,1.43,0
13,3,11,10,0,1.43,0
14,3,11,16,0,2.14,0
15,3,11,17,0,2.29,0
16,3,11,22,0,2.57,0
17,3,11,31,0,3.86,0
18,3,11,36,0,3.71,0
19,3,11,39,0,4.14,0
20,3,11,71,0,8.71,0
21,3,11,77,1,8.71,.143
22,3,11,98,1,11.6,.143
23,3,11,116,2,13.4,.286
24,3,11,137,2,15.1,.286
25,3,11,183,2,21,.286
26,3,11,231,3,27.4,.429
27,3,11,267,3,28,.429
28,3,11,304,4,32.4,.429
29,3,11,342,5,34.9,.571
30,3,11,401,9,40.7,1
31,3,11,495,9,51.1,1
1,4,11,586,11,57.6,1.29
2,4,11,653,12,60.3,1.29
3,4,11,757,15,70,1.71
4,4,11,902,21,85.4,2.43
5,4,11,998,22,93.7,2.43
6,4,11,1097,24,99.4,2.14
7,4,11,1211,24,102,2.14
8,4,11,1440,27,122,2.29
9,4,11,1523,32,124,2.86
10,4,11,1660,38,129,3.29
11,4,11,1778,47,125,3.71
12,4,11,1875,50,125,4
13,4,11,1955,52,123,4
14,4,11,2058,67,121,6.14
15,4,11,2197,72,108,6.43
16,4,11,2350,81,118,7
17,4,11,2476,86,117,6.86
18,4,11,2666,91,127,6.29
19,4,11,2793,96,131,6.57
20,4,11,2927,105,139,7.57
21,4,11,3098,112,149,6.43
22,4,11,3206,127,144,7.86
23,4,11,3361,139,144,8.29
24,4,11,3528,153,150,9.57
25,4,11,3699,165,148,10.6
26,4,11,3841,178,150,11.7
27,4,11,3892,185,138,11.4
28,4,11,3994,190,128,11.1
29,4,11,4106,205,129,11.1
30,4,11,4323,224,137,12.1
1,5,11,4658,231,161,11.1
2,5,11,4797,240,157,10.7
3,5,11,5016,251,168,10.4
4,5,11,5170,258,183,10.4
5,5,11,5322,264,190,10.6
6,5,11,5461,277,194,10.3
7,5,11,5654,285,190,8.71
8,5,11,5899,304,177,10.4
9,5,11,6102,311,186,10.1
10,5,11,6272,323,179,10.3
11,5,11,6389,328,174,10
12,5,11,6485,336,166,10.3
13,5,11,6584,350,160,10.4
14,5,11,6736,358,155,10.4
15,5,11,6871,368,139,9.14
16,5,11,7042,375,134,9.14
17,5,11,7123,383,122,8.57
18,5,11,7270,392,126,9.14
19,5,11,7434,400,136,9.14
20,5,11,7551,407,138,8.14
21,5,11,7788,412,150,7.71
22,5,11,7893,418,146,7.14
23,5,11,7966,427,132,7.43
24,5,11,8110,432,141,7
25,5,11,8225,440,136,6.86
26,5,11,8334,440,129,5.71
27,5,11,8406,445,122,5.43
28,5,11,8492,453,101,5.86
29,5,11,8538,460,92.1,6
30,5,11,8717,462,107,5
31,5,11,8801,466,98.7,4.86
1,6,11,8857,468,90.3,4
2,6,11,8886,470,78.9,4.29
3,6,11,9016,473,87.1,4
4,6,11,9120,475,89.7,3.14
5,6,11,9199,479,94.4,2.71
6,6,11,9269,483,78.9,3
7,6,11,9332,489,75.9,3.29
8,6,11,9389,491,76,3.29
9,6,11,9474,495,84,3.57
10,6,11,9537,499,74.4,3.71
11,6,11,9589,502,67,3.86
12,6,11,9654,506,65,3.86
13,6,11,9709,511,62.9,4
14,6,11,9767,515,62.1,3.71
15,6,11,9799,515,58.6,3.43
16,6,11,9818,520,49.1,3.57
17,6,11,9847,523,44.3,3.43
18,6,11,9903,527,44.9,3.57
19,6,11,9952,530,42.6,3.43
20,6,11,9984,531,39.3,2.86
21,6,11,10020,533,36.1,2.57
22,6,11,10058,535,37,2.86
23,6,11,10094,537,39.4,2.43
24,6,11,10128,541,40.1,2.57
25,6,11,10159,543,36.6,2.29
26,6,11,10185,546,33.3,2.29
27,6,11,10216,548,33.1,2.43
28,6,11,10248,550,32.6,2.43
29,6,11,10292,551,33.4,2.29
30,6,11,10327,551,33.3,2
1,7,11,10365,553,33.9,1.71
2,7,11,10390,554,33,1.57
3,7,11,10435,555,35.7,1.29
4,7,11,10447,557,33,1.29
5,7,11,10482,559,33.4,1.29
6,7,11,10515,561,31.9,1.43
7,7,11,10569,561,34.6,1.43
8,7,11,10642,564,39.6,1.57
9,7,11,10679,568,41.3,2
10,7,11,10743,568,44,1.86
11,7,11,10801,568,50.6,1.57
12,7,11,10847,568,52.1,1.29
13,7,11,10906,568,55.9,1
14,7,11,10946,568,53.9,1
15,7,11,11026,571,54.9,1
16,7,11,11076,574,56.7,.857
17,7,11,11115,577,53.1,1.29
18,7,11,11194,578,56.1,1.43
19,7,11,11261,578,59.1,1.43
20,7,11,11339,579,61.9,1.57
21,7,11,11427,580,68.7,1.71
22,7,11,11529,580,71.9,1.29
23,7,11,11571,581,70.7,1
24,7,11,11649,581,76.3,.571
25,7,11,11717,581,74.7,.429
26,7,11,11780,581,74.1,.429
27,7,11,11858,582,74.1,.429
28,7,11,11945,583,74,.429
29,7,11,11999,584,67.1,.571
30,7,11,12057,584,69.4,.429
31,7,11,12126,585,68.1,.571
1,8,11,12205,585,69.7,.571
2,8,11,12274,586,70.6,.714
3,8,11,12313,586,65,.571
4,8,11,12398,587,64.7,.571
5,8,11,12443,587,63.4,.429
6,8,11,12518,587,65.9,.429
7,8,11,12589,589,66.1,.571
8,8,11,12653,590,64,.714
9,8,11,12753,591,68.4,.714
10,8,11,12807,591,70.6,.714
11,8,11,12896,593,71.1,.857
12,8,11,12959,593,73.7,.857
13,8,11,13024,594,72.3,1
14,8,11,13118,594,75.6,.714
15,8,11,13159,597,72.3,1
16,8,11,13220,597,66.7,.857
17,8,11,13273,597,66.6,.857
18,8,11,13325,599,61.3,.857
19,8,11,13354,600,56.4,1
20,8,11,13409,601,55,1
21,8,11,13469,602,50.1,1.14
22,8,11,13534,604,53.6,1
23,8,11,13590,604,52.9,1
24,8,11,13639,604,52.3,1
25,8,11,13684,604,51.3,.714
26,8,11,13722,605,52.6,.714
27,8,11,13794,605,55,.571
28,8,11,13851,605,54.6,.429
29,8,11,13925,605,55.9,.143
30,8,11,13959,606,52.7,.286
31,8,11,13992,607,50.4,.429
1,9,11,14049,607,52.1,.429
2,9,11,14077,608,50.7,.429
3,9,11,14135,609,48.7,.571
4,9,11,14186,611,47.9,.857
5,9,11,14238,611,44.7,.857
6,9,11,14279,611,45.7,.714
7,9,11,14315,611,46.1,.571
8,9,11,14362,611,44.7,.571
9,9,11,14387,615,44.3,1
10,9,11,14412,616,39.6,1
11,9,11,14493,616,43.9,.714
12,9,11,14552,616,44.9,.714
13,9,11,14592,616,44.7,.714
14,9,11,14622,616,43.9,.714
15,9,11,14687,616,46.4,.714
16,9,11,14743,617,50.9,.286
17,9,11,14790,619,54,.429
18,9,11,14852,619,51.3,.429
19,9,11,14902,619,50,.429
20,9,11,14955,620,51.9,.571
21,9,11,14978,621,50.9,.714
22,9,11,15021,621,47.7,.714
23,9,11,15050,621,43.9,.571
24,9,11,15106,621,45.1,.286
25,9,11,15163,623,44.4,.571
26,9,11,15215,624,44.7,.714
27,9,11,15250,624,42.1,.571
28,9,11,15264,624,40.9,.429
29,9,11,15300,626,39.9,.714
30,9,11,15326,627,39.4,.857
1,10,11,15358,628,36,1
2,10,11,15423,629,37.1,.857
3,10,11,15473,629,36.9,.714
4,10,11,15519,631,38.4,1
5,10,11,15547,631,40.4,1
6,10,11,15652,631,50.3,.714
7,10,11,15697,632,53,.714
8,10,11,15765,634,58.1,.857
9,10,11,15843,634,60,.714
10,10,11,15918,636,63.6,1
11,10,11,15984,637,66.4,.857
12,10,11,16022,637,67.9,.857
13,10,11,16068,637,59.4,.857
14,10,11,16132,638,62.1,.857
15,10,11,16166,638,57.3,.571
16,10,11,16255,641,58.9,1
17,10,11,16334,641,59.4,.714
18,10,11,16370,641,55.1,.571
19,10,11,16395,641,53.3,.571
20,10,11,16445,642,53.9,.714
21,10,11,16498,642,52.3,.571
22,10,11,16537,642,53,.571
23,10,11,16609,642,50.6,.143
24,10,11,16706,642,53.1,.143
25,10,11,16767,642,56.7,.143
26,10,11,16812,642,59.6,.143
27,10,11,.,.,.,.
