day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,21,0,0,0,0
28,1,21,0,0,0,0
29,1,21,0,0,0,0
30,1,21,0,0,0,0
31,1,21,0,0,0,0
1,2,21,0,0,0,0
2,2,21,0,0,0,0
3,2,21,0,0,0,0
4,2,21,0,0,0,0
5,2,21,0,0,0,0
6,2,21,0,0,0,0
7,2,21,0,0,0,0
8,2,21,0,0,0,0
9,2,21,0,0,0,0
10,2,21,0,0,0,0
11,2,21,0,0,0,0
12,2,21,0,0,0,0
13,2,21,0,0,0,0
14,2,21,0,0,0,0
15,2,21,0,0,0,0
16,2,21,0,0,0,0
17,2,21,0,0,0,0
18,2,21,0,0,0,0
19,2,21,0,0,0,0
20,2,21,0,0,0,0
21,2,21,0,0,0,0
22,2,21,0,0,0,0
23,2,21,0,0,0,0
24,2,21,0,0,0,0
25,2,21,0,0,0,0
26,2,21,0,0,0,0
27,2,21,0,0,0,0
28,2,21,0,0,0,0
29,2,21,0,0,0,0
1,3,21,0,0,0,0
2,3,21,0,0,0,0
3,3,21,0,0,0,0
4,3,21,0,0,0,0
5,3,21,0,0,0,0
6,3,21,1,0,.143,0
7,3,21,1,0,.143,0
8,3,21,4,0,.571,0
9,3,21,5,0,.714,0
10,3,21,7,0,1,0
11,3,21,7,0,1,0
12,3,21,11,0,1.57,0
13,3,21,11,0,1.43,0
14,3,21,18,0,2.43,0
15,3,21,21,0,2.43,0
16,3,21,22,1,2.43,.143
17,3,21,26,1,2.71,.143
18,3,21,35,1,4,.143
19,3,21,47,2,5.14,.286
20,3,21,63,2,7.43,.286
21,3,21,84,3,9.43,.429
22,3,21,103,3,11.7,.429
23,3,21,124,3,14.6,.286
24,3,21,157,3,18.7,.286
25,3,21,198,5,23.3,.571
26,3,21,248,5,28.7,.429
27,3,21,302,8,34.1,.857
28,3,21,394,9,44.3,.857
29,3,21,439,9,48,.857
30,3,21,480,11,50.9,1.14
31,3,21,590,18,61.9,2.14
1,4,21,674,20,68,2.14
2,4,21,747,34,71.3,4.14
3,4,21,762,34,65.7,3.71
4,4,21,909,40,73.6,4.43
5,4,21,1048,44,87,5
6,4,21,1057,52,82.4,5.86
7,4,21,1289,66,99.9,6.86
8,4,21,1393,73,103,7.57
9,4,21,1525,84,111,7.14
10,4,21,1702,90,134,8
11,4,21,1851,94,135,7.71
12,4,21,1963,98,131,7.71
13,4,21,2048,106,142,7.71
14,4,21,2210,115,132,7
15,4,21,2295,124,129,7.29
16,4,21,2429,131,129,6.71
17,4,21,2522,140,117,7.14
18,4,21,2707,145,122,7.29
19,4,21,2960,149,142,7.29
20,4,21,3050,155,143,7
21,4,21,3193,172,140,8.14
22,4,21,3373,185,154,8.71
23,4,21,3548,194,160,9
24,4,21,3779,203,180,9
25,4,21,3905,208,171,9
26,4,21,4074,211,159,8.86
27,4,21,4146,216,157,8.71
28,4,21,4375,231,169,8.43
29,4,21,4538,235,166,7.14
30,4,21,4708,240,166,6.57
1,5,21,4879,248,157,6.43
2,5,21,4881,252,139,6.29
3,5,21,5223,256,164,6.43
4,5,21,5370,267,175,7.29
5,5,21,5822,278,207,6.71
6,5,21,5946,286,201,7.29
7,5,21,6173,302,209,8.86
8,5,21,6298,304,203,8
9,5,21,6469,312,227,8.57
10,5,21,6486,312,180,8
11,5,21,6710,325,191,8.29
12,5,21,7003,333,169,7.86
13,5,21,7102,334,165,6.86
14,5,21,7397,341,175,5.57
15,5,21,7578,343,183,5.57
16,5,21,7773,346,186,4.86
17,5,21,7793,346,187,4.86
18,5,21,8041,354,190,4.14
19,5,21,8205,369,172,5.14
20,5,21,8336,381,176,6.71
21,5,21,8475,393,154,7.43
22,5,21,8688,398,159,7.86
23,5,21,8812,399,148,7.57
24,5,21,8842,399,150,7.57
25,5,21,8899,403,123,7
26,5,21,9175,407,139,5.43
27,5,21,9313,420,140,5.57
28,5,21,9510,424,148,4.43
29,5,21,9688,434,143,5.14
30,5,21,9887,441,154,6
31,5,21,9937,441,156,6
1,6,21,10150,445,179,6
2,6,21,10287,451,159,6.29
3,6,21,10485,458,167,5.43
4,6,21,10781,469,182,6.43
5,6,21,11051,476,195,6
6,6,21,11359,480,210,5.57
7,6,21,11393,481,208,5.71
8,6,21,11701,487,222,6
9,6,21,11891,494,229,6.14
10,6,21,12029,498,221,5.71
11,6,21,12128,513,192,6.29
12,6,21,12352,525,186,7
13,6,21,12605,527,178,6.71
14,6,21,12652,527,180,6.57
15,6,21,12863,524,166,5.29
16,6,21,12899,530,144,5.14
17,6,21,13190,536,166,5.43
18,6,21,13391,540,180,3.86
19,6,21,13629,542,182,2.43
20,6,21,13800,542,171,2.14
21,6,21,13919,544,181,2.43
22,6,21,14073,549,173,3.57
23,6,21,14323,559,203,4.14
24,6,21,14522,561,190,3.57
25,6,21,14793,569,200,4.14
26,6,21,15033,575,201,4.71
27,6,21,15337,575,220,4.71
28,6,21,15480,577,223,4.71
29,6,21,15657,584,226,5
30,6,21,15916,588,228,4.14
1,7,21,16114,597,227,5.14
2,7,21,16370,605,225,5.14
3,7,21,16655,608,232,4.71
4,7,21,16709,608,196,4.71
5,7,21,16712,608,176,4.43
6,7,21,17464,621,258,5.29
7,7,21,17820,630,272,6
8,7,21,18204,634,299,5.29
9,7,21,18576,640,315,5
10,7,21,19076,647,346,5.57
11,7,21,19530,647,403,5.57
12,7,21,19762,649,436,5.86
13,7,21,20127,656,380,5
