day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,42,0,0,0,0
28,1,42,0,0,0,0
29,1,42,0,0,0,0
30,1,42,0,0,0,0
31,1,42,0,0,0,0
1,2,42,0,0,0,0
2,2,42,0,0,0,0
3,2,42,0,0,0,0
4,2,42,0,0,0,0
5,2,42,0,0,0,0
6,2,42,0,0,0,0
7,2,42,0,0,0,0
8,2,42,0,0,0,0
9,2,42,0,0,0,0
10,2,42,0,0,0,0
11,2,42,0,0,0,0
12,2,42,0,0,0,0
13,2,42,0,0,0,0
14,2,42,0,0,0,0
15,2,42,0,0,0,0
16,2,42,0,0,0,0
17,2,42,0,0,0,0
18,2,42,0,0,0,0
19,2,42,0,0,0,0
20,2,42,0,0,0,0
21,2,42,0,0,0,0
22,2,42,0,0,0,0
23,2,42,0,0,0,0
24,2,42,0,0,0,0
25,2,42,0,0,0,0
26,2,42,0,0,0,0
27,2,42,0,0,0,0
28,2,42,0,0,0,0
29,2,42,0,0,0,0
1,3,42,0,0,0,0
2,3,42,0,0,0,0
3,3,42,0,0,0,0
4,3,42,0,0,0,0
5,3,42,0,0,0,0
6,3,42,2,0,.286,0
7,3,42,4,0,.571,0
8,3,42,6,0,.857,0
9,3,42,10,0,1.43,0
10,3,42,12,0,1.71,0
11,3,42,16,0,2.29,0
12,3,42,22,0,3.14,0
13,3,42,41,0,5.57,0
14,3,42,47,0,6.14,0
15,3,42,68,0,8.86,0
16,3,42,81,0,10.1,0
17,3,42,101,0,12.7,0
18,3,42,139,1,17.6,.143
19,3,42,187,1,23.6,.143
20,3,42,269,1,32.6,.143
21,3,42,388,2,48.7,.286
22,3,42,504,3,62.3,.429
23,3,42,644,6,80.4,.857
24,3,42,851,8,107,1.14
25,3,42,1151,12,145,1.57
26,3,42,1690,16,215,2.14
27,3,42,2217,23,278,3.14
28,3,42,2815,35,347,4.71
29,3,42,3441,40,420,5.29
30,3,42,4156,48,502,6
31,3,42,4997,72,592,9.14
1,4,42,5805,78,665,9.43
2,4,42,7021,91,762,10.7
3,4,42,8420,102,886,11.3
4,4,42,10110,140,1042,15
5,4,42,11590,159,1164,17
6,4,42,13075,170,1274,17.4
7,4,42,14582,241,1369,24.1
8,4,42,16414,313,1516,33.6
9,4,42,18379,344,1623,36.1
10,4,42,20128,435,1673,47.6
11,4,42,21774,515,1666,53.6
12,4,42,22955,525,1624,52.3
13,4,42,24295,563,1603,56.1
14,4,42,25591,746,1573,72.1
15,4,42,26804,833,1484,74.3
16,4,42,28314,940,1419,85.1
17,4,42,30121,1027,1428,84.6
18,4,42,31742,1150,1424,90.7
19,4,42,32992,1285,1434,109
20,4,42,34005,1366,1387,115
21,4,42,35384,1620,1399,125
22,4,42,36763,1720,1423,127
23,4,42,38334,1723,1431,112
24,4,42,40298,1786,1454,108
25,4,42,41626,1842,1412,98.9
26,4,42,42709,1871,1388,83.7
27,4,42,43728,1946,1389,82.9
28,4,42,45323,2092,1420,67.4
29,4,42,46191,2392,1347,96
30,4,42,48224,2580,1413,122
1,5,42,49764,2671,1352,126
2,5,42,51071,2794,1349,136
3,5,42,52079,2843,1339,139
4,5,42,52992,2880,1323,133
5,5,42,53967,3206,1235,159
6,5,42,54989,3360,1257,138
7,5,42,56149,3599,1132,146
8,5,42,57501,3724,1105,150
9,5,42,58661,3793,1084,143
10,5,42,60037,3819,1137,139
11,5,42,60557,3846,1081,138
12,5,42,61407,3924,1063,103
13,5,42,62194,4104,1029,106
14,5,42,63158,4298,1001,99.9
15,5,42,64178,4432,954,101
16,5,42,65228,4490,938,99.6
17,5,42,65745,4504,815,97.9
18,5,42,66676,4560,874,102
19,5,42,67404,4675,857,107
20,5,42,68151,4794,851,98.6
21,5,42,69252,4887,871,84.1
22,5,42,70305,5032,875,85.7
23,5,42,71102,5121,839,90.1
24,5,42,71656,5145,844,91.6
25,5,42,72356,5159,811,85.6
26,5,42,72873,5175,781,71.4
27,5,42,73646,5290,785,70.9
28,5,42,74312,5397,723,72.9
29,5,42,75073,5467,681,62.1
30,5,42,75789,5537,670,59.4
31,5,42,76218,5555,652,58.6
1,6,42,76734,5574,625,59.3
2,6,42,77315,5670,635,70.7
3,6,42,77871,5742,604,64.6
4,6,42,78428,5862,588,66.4
5,6,42,78908,5952,548,69.3
