day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,55,0,0,0,0
28,1,55,0,0,0,0
29,1,55,0,0,0,0
30,1,55,0,0,0,0
31,1,55,0,0,0,0
1,2,55,0,0,0,0
2,2,55,0,0,0,0
3,2,55,0,0,0,0
4,2,55,0,0,0,0
5,2,55,1,0,.143,0
6,2,55,1,0,.143,0
7,2,55,1,0,.143,0
8,2,55,1,0,.143,0
9,2,55,1,0,.143,0
10,2,55,1,0,.143,0
11,2,55,1,0,.143,0
12,2,55,1,0,0,0
13,2,55,1,0,0,0
14,2,55,1,0,0,0
15,2,55,1,0,0,0
16,2,55,1,0,0,0
17,2,55,1,0,0,0
18,2,55,1,0,0,0
19,2,55,1,0,0,0
20,2,55,1,0,0,0
21,2,55,1,0,0,0
22,2,55,1,0,0,0
23,2,55,1,0,0,0
24,2,55,1,0,0,0
25,2,55,1,0,0,0
26,2,55,1,0,0,0
27,2,55,1,0,0,0
28,2,55,1,0,0,0
29,2,55,1,0,0,0
1,3,55,1,0,0,0
2,3,55,1,0,0,0
3,3,55,1,0,0,0
4,3,55,1,0,0,0
5,3,55,1,0,0,0
6,3,55,1,0,0,0
7,3,55,1,0,0,0
8,3,55,1,0,0,0
9,3,55,2,0,.143,0
10,3,55,3,0,.286,0
11,3,55,6,0,.714,0
12,3,55,8,0,1,0
13,3,55,19,0,2.57,0
14,3,55,27,0,3.71,0
15,3,55,33,0,4.57,0
16,3,55,47,0,6.43,0
17,3,55,72,0,9.86,0
18,3,55,106,0,14.3,0
19,3,55,155,2,21,.286
20,3,55,216,3,28.1,.429
21,3,55,281,4,36.3,.571
22,3,55,382,4,49.9,.571
23,3,55,418,5,53,.714
24,3,55,481,5,58.4,.714
25,3,55,623,7,73.9,1
26,3,55,754,10,85.6,1.14
27,3,55,930,16,102,1.86
28,3,55,1042,17,109,1.86
29,3,55,1120,17,105,1.86
30,3,55,1269,20,122,2.14
31,3,55,1351,25,124,2.86
1,4,55,1552,33,133,3.71
2,4,55,1730,37,139,3.86
3,4,55,1916,50,141,4.86
4,4,55,2112,60,153,6.14
5,4,55,2267,73,164,8
6,4,55,2440,83,167,9
7,4,55,2578,94,175,9.86
8,4,55,2756,107,172,10.6
9,4,55,2885,116,165,11.3
10,4,55,3068,131,165,11.6
11,4,55,3213,141,157,11.6
12,4,55,3341,145,153,10.3
13,4,55,3428,155,141,10.3
14,4,55,3555,172,140,11.1
15,4,55,3721,184,138,11
16,4,55,3875,197,141,11.6
17,4,55,4045,205,140,10.6
18,4,55,4199,212,141,10.1
19,4,55,4346,222,144,11
20,4,55,4564,231,162,10.9
21,4,55,4691,243,162,10.1
22,4,55,4915,247,171,9
23,4,55,5125,257,179,8.57
24,4,55,5431,262,198,8.14
25,4,55,5762,266,223,7.71
26,4,55,5986,274,234,7.43
27,4,55,6164,281,229,7.14
28,4,55,6389,300,243,8.14
29,4,55,6621,308,244,8.71
30,4,55,6973,316,264,8.43
1,5,55,7439,327,287,9.29
2,5,55,7785,334,289,9.71
3,5,55,8089,339,300,9.29
4,5,55,8362,340,314,8.43
5,5,55,8696,353,330,7.57
6,5,55,9052,362,347,7.71
7,5,55,9369,374,342,8.29
8,5,55,9750,384,330,8.14
9,5,55,10099,398,331,9.14
10,5,55,10379,400,327,8.71
11,5,55,10581,409,317,9.86
12,5,55,10781,418,298,9.29
13,5,55,11071,421,288,8.43
14,5,55,11449,434,297,8.57
15,5,55,12037,445,327,8.71
16,5,55,12551,453,350,7.86
17,5,55,12754,453,339,7.57
18,5,55,12912,459,333,7.14
19,5,55,13200,467,346,7
20,5,55,13779,481,387,8.57
21,5,55,14172,487,389,7.57
22,5,55,14768,496,390,7.29
23,5,55,15196,507,378,7.71
24,5,55,15573,510,403,8.14
25,5,55,15857,514,421,7.86
26,5,55,16141,517,420,7.14
27,5,55,16786,539,430,8.29
28,5,55,17476,550,472,9
29,5,55,18050,569,469,10.4
30,5,55,18515,588,474,11.6
31,5,55,18684,594,444,12
1,6,55,18825,597,424,11.9
2,6,55,19223,610,440,13.3
3,6,55,19896,618,444,11.3
4,6,55,20359,627,412,11
5,6,55,20723,634,382,9.29
6,6,55,20997,646,355,8.29
7,6,55,21246,648,366,7.71
8,6,55,21463,650,377,7.57
9,6,55,21738,662,359,7.43
10,6,55,24091,679,599,8.71
11,6,55,24411,691,579,9.14
12,6,55,24733,698,573,9.14
13,6,55,25026,700,576,7.71
14,6,55,25307,702,580,7.71
15,6,55,25530,703,581,7.57
16,6,55,25829,710,584,6.86
17,6,55,26167,719,297,5.71
18,6,55,26611,725,314,4.86
19,6,55,26913,736,311,5.43
20,6,55,27314,751,327,7.29
21,6,55,27598,751,327,7
22,6,55,27849,751,331,6.86
23,6,55,28187,758,337,6.86
24,6,55,28652,769,355,7.14
25,6,55,29204,775,370,7.14
26,6,55,29718,775,401,5.57
27,6,55,30235,786,417,5
28,6,55,30716,786,445,5
29,6,55,31103,786,465,5
30,6,55,31723,793,505,5
1,7,55,32307,794,522,3.57
2,7,55,32876,801,525,3.71
3,7,55,33565,804,550,4.14
4,7,55,34243,804,573,2.57
5,7,55,34750,804,576,2.57
6,7,55,35318,805,602,2.71
7,7,55,35834,817,587,3.43
8,7,55,36526,818,603,3.43
9,7,55,37358,821,640,2.86
10,7,55,38414,825,693,3
11,7,55,39095,829,693,3.57
12,7,55,39901,828,736,3.43
13,7,55,40603,828,755,3.29
14,7,55,41516,834,812,2.43
15,7,55,42409,835,840,2.43
16,7,55,43361,839,858,2.57
17,7,55,44243,842,833,2.43
18,7,55,45118,852,860,3.29
19,7,55,45953,853,865,3.57
20,7,55,46754,855,879,3.86
21,7,55,47893,868,911,4.86
22,7,55,48777,874,910,5.57
23,7,55,49751,887,913,6.86
24,7,55,50895,887,950,6.43
25,7,55,51735,900,945,6.86
26,7,55,52685,901,962,6.86
27,7,55,53323,905,938,7.14
28,7,55,54114,916,889,6.86
29,7,55,55119,920,906,6.57
30,7,55,56111,928,909,5.86
31,7,55,57020,943,875,8
1,8,55,58064,955,904,7.86
2,8,55,58990,956,901,7.86
3,8,55,59471,960,878,7.86
4,8,55,60263,970,878,7.71
5,8,55,61247,979,875,8.43
6,8,55,62139,988,861,8.57
7,8,55,63256,1001,891,8.29
8,8,55,64231,1007,881,7.43
9,8,55,64835,1009,835,7.57
10,8,55,65427,1009,851,7
11,8,55,66146,1017,840,6.71
12,8,55,66705,1022,780,6.14
13,8,55,67781,1029,806,5.86
14,8,55,68761,1035,786,4.86
15,8,55,69560,1047,761,5.71
16,8,55,70246,1048,773,5.57
17,8,55,70796,1050,767,5.86
18,8,55,71517,1063,767,6.57
19,8,55,72204,1071,786,7
20,8,55,73067,1077,755,6.86
21,8,55,73895,1079,733,6.29
22,8,55,74740,1092,740,6.43
23,8,55,75205,1092,708,6.29
24,8,55,75755,1093,708,6.14
25,8,55,76453,1106,705,6.14
26,8,55,77220,1112,717,5.86
27,8,55,78136,1121,724,6.29
28,8,55,78984,1123,727,6.29
29,8,55,79767,1129,718,5.29
30,8,55,80311,1132,729,5.71
31,8,55,80733,1132,711,5.57
1,9,55,81688,1141,748,5
2,9,55,82261,1151,720,5.57
3,9,55,83119,1155,712,4.86
4,9,55,84519,1164,791,5.86
5,9,55,85517,1177,821,6.86
6,9,55,86406,1177,871,6.43
7,9,55,86981,1177,893,6.43
8,9,55,87730,1179,863,5.43
9,9,55,88643,1193,912,6
10,9,55,90232,1202,1016,6.71
11,9,55,91672,1206,1022,6
12,9,55,93102,1218,1084,5.86
13,9,55,94723,1219,1188,6
14,9,55,95564,1219,1226,6
15,9,55,97002,1230,1325,7.29
16,9,55,98501,1238,1408,6.43
17,9,55,100619,1240,1484,5.43
18,9,55,103211,1247,1648,5.86
19,9,55,105609,1249,1787,4.43
20,9,55,107343,1250,1803,4.43
21,9,55,108656,1253,1870,4.86
22,9,55,110393,1259,1913,4.14
23,9,55,112276,1269,1968,4.43
24,9,55,114743,1275,2018,5
25,9,55,117355,1285,2021,5.43
26,9,55,120249,1291,2091,6
27,9,55,122498,1291,2165,5.86
28,9,55,124320,1293,2238,5.71
29,9,55,126744,1312,2336,7.57
30,9,55,129172,1338,2414,9.86
1,10,55,132176,1358,2490,11.9
2,10,55,134996,1364,2520,11.3
3,10,55,138018,1383,2538,13.1
4,10,55,139941,1388,2492,13.9
5,10,55,141780,1393,2494,14.3
6,10,55,143886,1410,2449,14
7,10,55,146376,1427,2458,12.7
8,10,55,149613,1436,2491,11.1
9,10,55,152831,1453,2548,12.7
10,10,55,155752,1470,2533,12.4
11,10,55,158426,1477,2641,12.7
12,10,55,160655,1488,2696,13.6
13,10,55,164137,1521,2893,15.9
14,10,55,167441,1549,3009,17.4
15,10,55,171480,1568,3124,18.9
16,10,55,175652,1588,3260,19.3
17,10,55,175652,1588,2843,16.9
18,10,55,175652,1588,2461,15.9
19,10,55,183177,1624,3217,19.4
20,10,55,187898,1660,3394,19.9
21,10,55,192225,1707,3541,22.6
22,10,55,195853,1730,3482,23.1
23,10,55,200479,1776,3547,26.9
24,10,55,205139,1804,4212,30.9
25,10,55,208917,1814,4752,32.3
26,10,55,212116,1825,4134,28.7
27,10,55,.,.,.,.
