day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,16,0,0,0,0
28,1,16,0,0,0,0
29,1,16,0,0,0,0
30,1,16,0,0,0,0
31,1,16,0,0,0,0
1,2,16,0,0,0,0
2,2,16,0,0,0,0
3,2,16,0,0,0,0
4,2,16,0,0,0,0
5,2,16,0,0,0,0
6,2,16,0,0,0,0
7,2,16,0,0,0,0
8,2,16,0,0,0,0
9,2,16,0,0,0,0
10,2,16,0,0,0,0
11,2,16,0,0,0,0
12,2,16,0,0,0,0
13,2,16,0,0,0,0
14,2,16,0,0,0,0
15,2,16,0,0,0,0
16,2,16,0,0,0,0
17,2,16,0,0,0,0
18,2,16,0,0,0,0
19,2,16,0,0,0,0
20,2,16,0,0,0,0
21,2,16,0,0,0,0
22,2,16,0,0,0,0
23,2,16,0,0,0,0
24,2,16,0,0,0,0
25,2,16,0,0,0,0
26,2,16,0,0,0,0
27,2,16,0,0,0,0
28,2,16,0,0,0,0
29,2,16,0,0,0,0
1,3,16,0,0,0,0
2,3,16,0,0,0,0
3,3,16,0,0,0,0
4,3,16,0,0,0,0
5,3,16,0,0,0,0
6,3,16,0,0,0,0
7,3,16,0,0,0,0
8,3,16,0,0,0,0
9,3,16,0,0,0,0
10,3,16,0,0,0,0
11,3,16,0,0,0,0
12,3,16,0,0,0,0
13,3,16,1,0,.143,0
14,3,16,5,0,.714,0
15,3,16,5,0,.714,0
16,3,16,5,0,.714,0
17,3,16,9,0,1.29,0
18,3,16,11,0,1.57,0
19,3,16,23,0,3.29,0
20,3,16,31,0,4.29,0
21,3,16,42,0,5.29,0
22,3,16,47,0,6,0
23,3,16,50,0,6.43,0
24,3,16,73,0,9.14,0
25,3,16,123,0,16,0
26,3,16,189,3,23.7,.429
27,3,16,232,4,28.7,.571
28,3,16,262,5,31.4,.714
29,3,16,310,6,37.6,.857
30,3,16,415,7,52.1,1
31,3,16,526,9,64.7,1.29
1,4,16,669,9,78,1.29
2,4,16,891,9,100,.857
3,4,16,1012,10,111,.857
4,4,16,1076,10,116,.714
5,4,16,1100,10,113,.571
6,4,16,1170,13,108,.857
7,4,16,1210,15,97.7,.857
8,4,16,1232,19,80.4,1.43
9,4,16,1366,24,67.9,2.14
10,4,16,1425,25,59,2.14
11,4,16,1438,27,51.7,2.43
12,4,16,1457,27,51,2.43
13,4,16,1499,33,47,2.86
14,4,16,1538,39,46.9,3.43
15,4,16,1587,41,50.7,3.14
16,4,16,1609,41,34.7,2.43
17,4,16,1655,43,32.9,2.57
18,4,16,1668,44,32.9,2.43
19,4,16,1672,45,30.7,2.57
20,4,16,1736,48,33.9,2.14
21,4,16,1766,51,32.6,1.71
22,4,16,1802,54,30.7,1.86
23,4,16,1836,54,32.4,1.86
24,4,16,1870,54,30.7,1.57
25,4,16,1887,56,31.3,1.71
26,4,16,1897,56,32.1,1.57
27,4,16,1917,58,25.9,1.43
28,4,16,1952,60,26.6,1.29
29,4,16,1984,60,26,.857
30,4,16,2016,63,25.7,1.29
1,5,16,2035,63,23.6,1.29
2,5,16,2061,64,24.9,1.14
3,5,16,2059,64,23.1,1.14
4,5,16,2106,64,27,.857
5,5,16,2127,66,25,.857
6,5,16,2158,67,24.9,1
7,5,16,2178,67,23.1,.571
8,5,16,2205,67,24.3,.571
9,5,16,2230,67,24.1,.429
10,5,16,2232,67,24.7,.429
11,5,16,2261,69,22.1,.714
12,5,16,2294,69,23.9,.429
13,5,16,2325,69,23.9,.286
14,5,16,2352,72,24.9,.714
15,5,16,2389,73,26.3,.857
16,5,16,2419,73,27,.857
17,5,16,2421,73,27,.857
18,5,16,2455,74,27.7,.714
19,5,16,2476,77,26,1.14
20,5,16,2506,77,25.9,1.14
21,5,16,2534,77,26,.714
22,5,16,2595,79,29.4,.857
23,5,16,2626,79,29.6,.857
24,5,16,2650,79,32.7,.857
25,5,16,2664,79,29.9,.714
26,5,16,2699,81,31.9,.571
27,5,16,2731,82,32.1,.714
28,5,16,2770,82,33.7,.714
29,5,16,2804,82,29.9,.429
30,5,16,2840,82,30.6,.429
31,5,16,2855,82,29.3,.429
1,6,16,2908,83,34.9,.571
2,6,16,2935,83,33.7,.286
3,6,16,2990,83,37,.143
4,6,16,3054,83,40.6,.143
5,6,16,3111,83,43.9,.143
6,6,16,3139,83,42.7,.143
7,6,16,3153,83,42.6,.143
8,6,16,3197,83,41.3,0
9,6,16,3226,85,41.6,.286
10,6,16,3262,85,38.9,.286
11,6,16,3303,86,35.6,.429
12,6,16,3354,87,34.7,.571
13,6,16,3399,87,37.1,.571
14,6,16,3413,88,37.1,.714
15,6,16,3472,89,39.3,.857
16,6,16,3543,89,45.3,.571
17,6,16,3634,89,53.1,.571
18,6,16,3744,90,63,.571
19,6,16,3871,90,73.9,.429
20,6,16,4006,90,86.7,.429
21,6,16,4025,90,87.4,.286
22,6,16,4267,90,114,.143
23,6,16,4412,90,124,.143
24,6,16,4650,91,145,.286
25,6,16,4869,91,161,.143
26,6,16,5149,91,183,.143
27,6,16,5319,92,188,.286
28,6,16,5543,91,217,.143
29,6,16,5770,91,215,.143
30,6,16,6124,92,245,.286
1,7,16,6379,92,247,.143
2,7,16,6688,93,260,.286
3,7,16,7034,94,269,.429
4,7,16,7431,94,302,.286
5,7,16,7799,94,322,.429
6,7,16,8222,94,350,.429
7,7,16,8582,94,351,.286
8,7,16,9004,98,375,.857
9,7,16,9598,101,416,1.14
10,7,16,10073,101,434,1
11,7,16,10584,102,450,1.14
12,7,16,10971,102,453,1.14
13,7,16,11531,102,473,1.14
14,7,16,11962,103,483,1.29
15,7,16,12599,111,514,1.86
16,7,16,13261,114,523,1.86
17,7,16,13879,119,544,2.57
18,7,16,14433,120,550,2.57
19,7,16,14960,120,570,2.57
20,7,16,15380,123,550,3
21,7,16,15899,127,562,3.43
22,7,16,16395,136,542,3.57
23,7,16,16862,142,514,4
24,7,16,17411,148,505,4.14
25,7,16,17920,150,498,4.29
26,7,16,18262,150,472,4.29
27,7,16,18836,159,494,5.14
28,7,16,19318,168,488,5.86
29,7,16,19810,176,488,5.71
30,7,16,20378,180,502,5.43
31,7,16,20853,193,492,6.43
1,8,16,21231,197,473,6.71
2,8,16,21465,197,458,6.71
3,8,16,21838,202,429,6.14
4,8,16,22357,214,434,6.57
5,8,16,22854,218,435,6
6,8,16,23510,227,447,6.71
7,8,16,24073,231,460,5.43
8,8,16,24593,236,480,5.57
9,8,16,24797,237,476,5.71
10,8,16,25267,239,490,5.29
11,8,16,25767,248,487,4.86
12,8,16,26280,251,489,4.71
13,8,16,26814,256,472,4.14
14,8,16,27312,267,463,5.14
15,8,16,27620,269,432,4.71
16,8,16,27794,269,428,4.57
17,8,16,28113,275,407,5.14
18,8,16,28486,283,388,5
19,8,16,28829,292,364,5.86
20,8,16,29252,299,348,6.14
21,8,16,29510,305,314,5.43
22,8,16,29808,307,313,5.43
23,8,16,29973,308,311,5.57
24,8,16,30260,315,307,5.71
25,8,16,30648,328,309,6.43
26,8,16,30968,337,306,6.43
27,8,16,31326,343,296,6.29
28,8,16,31643,357,305,7.43
29,8,16,31874,359,295,7.43
30,8,16,32034,360,294,7.43
31,8,16,32256,364,285,7
1,9,16,32703,370,294,6
2,9,16,33059,374,299,5.29
3,9,16,33361,375,291,4.57
4,9,16,33628,386,284,4.14
5,9,16,33884,386,287,3.86
6,9,16,34053,387,288,3.86
7,9,16,34153,387,271,3.29
8,9,16,34461,390,251,2.86
9,9,16,34707,406,235,4.57
10,9,16,35027,407,238,4.57
11,9,16,35354,415,247,4.14
12,9,16,35588,416,243,4.29
13,9,16,35693,416,234,4.14
14,9,16,35984,420,262,4.71
15,9,16,36306,425,264,5
16,9,16,36594,430,270,3.43
17,9,16,36924,435,271,4
18,9,16,37358,439,286,3.43
19,9,16,37624,441,291,3.57
20,9,16,37768,443,296,3.86
21,9,16,38196,447,316,3.86
22,9,16,38676,452,339,3.86
23,9,16,39030,454,348,3.43
24,9,16,39547,458,375,3.29
25,9,16,40228,458,410,2.71
26,9,16,40411,460,398,2.71
27,9,16,40501,460,390,2.43
28,9,16,41386,460,456,1.86
29,9,16,41854,466,454,2
30,9,16,42549,469,503,2.14
1,10,16,42915,473,481,2.14
2,10,16,43528,478,471,2.86
3,10,16,43702,480,470,2.86
4,10,16,43964,482,495,3.14
5,10,16,44832,487,492,3.86
6,10,16,45487,494,519,4
7,10,16,46233,502,526,4.71
8,10,16,46848,504,562,4.43
9,10,16,47674,506,592,4
10,10,16,47927,508,604,4
11,10,16,48155,508,599,3.71
12,10,16,48663,511,547,3.43
13,10,16,49987,514,643,2.86
14,10,16,50534,520,614,2.57
15,10,16,51471,521,660,2.43
16,10,16,52234,529,651,3.29
17,10,16,52582,532,665,3.43
18,10,16,53092,532,705,3.43
19,10,16,54123,535,780,3.43
20,10,16,55153,541,738,3.86
21,10,16,55922,551,770,4.43
22,10,16,56944,560,782,5.57
23,10,16,58083,568,836,5.57
24,10,16,58964,573,912,5.86
25,10,16,59344,574,893,6
26,10,16,60400,582,897,6.71
27,10,16,.,.,.,.
