day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,37,0,0,0,0
28,1,37,0,0,0,0
29,1,37,0,0,0,0
30,1,37,0,0,0,0
31,1,37,0,0,0,0
1,2,37,0,0,0,0
2,2,37,0,0,0,0
3,2,37,0,0,0,0
4,2,37,0,0,0,0
5,2,37,0,0,0,0
6,2,37,0,0,0,0
7,2,37,0,0,0,0
8,2,37,0,0,0,0
9,2,37,0,0,0,0
10,2,37,0,0,0,0
11,2,37,0,0,0,0
12,2,37,0,0,0,0
13,2,37,0,0,0,0
14,2,37,0,0,0,0
15,2,37,0,0,0,0
16,2,37,0,0,0,0
17,2,37,0,0,0,0
18,2,37,0,0,0,0
19,2,37,0,0,0,0
20,2,37,0,0,0,0
21,2,37,0,0,0,0
22,2,37,0,0,0,0
23,2,37,0,0,0,0
24,2,37,0,0,0,0
25,2,37,0,0,0,0
26,2,37,0,0,0,0
27,2,37,0,0,0,0
28,2,37,0,0,0,0
29,2,37,0,0,0,0
1,3,37,0,0,0,0
2,3,37,0,0,0,0
3,3,37,1,0,.143,0
4,3,37,1,0,.143,0
5,3,37,1,0,.143,0
6,3,37,2,0,.286,0
7,3,37,2,0,.286,0
8,3,37,2,0,.286,0
9,3,37,7,0,1,0
10,3,37,7,0,.857,0
11,3,37,8,0,1,0
12,3,37,16,0,2.14,0
13,3,37,18,0,2.29,0
14,3,37,25,0,3.29,0
15,3,37,32,0,4.29,0
16,3,37,34,0,3.86,0
17,3,37,42,0,5,0
18,3,37,66,0,8.29,0
19,3,37,104,0,12.6,0
20,3,37,144,0,18,0
21,3,37,184,0,22.7,0
22,3,37,269,0,33.9,0
23,3,37,302,0,38.3,0
24,3,37,397,0,50.7,0
25,3,37,562,1,70.9,.143
26,3,37,639,2,76.4,.286
27,3,37,784,3,91.4,.429
28,3,37,972,4,113,.571
29,3,37,1166,6,128,.857
30,3,37,1303,6,143,.857
31,3,37,1527,10,161,1.43
1,4,37,1591,11,147,1.43
2,4,37,1858,17,174,2.14
3,4,37,2093,23,187,2.86
4,4,37,2402,30,204,3.71
5,4,37,2585,37,203,4.43
6,4,37,2870,42,224,5.14
7,4,37,3220,50,242,5.71
8,4,37,3423,61,262,7.14
9,4,37,3651,74,256,8.14
10,4,37,3906,78,259,7.86
11,4,37,4310,86,273,8
12,4,37,4520,86,276,7
13,4,37,4788,91,274,7
14,4,37,4992,116,253,9.43
15,4,37,5123,128,243,9.57
16,4,37,5463,140,259,9.43
17,4,37,5859,159,279,11.6
18,4,37,6140,175,261,12.7
19,4,37,6493,183,282,13.9
20,4,37,6764,187,282,13.7
21,4,37,6951,217,280,14.4
22,4,37,7220,242,300,16.3
23,4,37,7608,253,306,16.1
24,4,37,8052,270,313,15.9
25,4,37,8548,304,344,18.4
26,4,37,8830,309,334,18
27,4,37,9035,331,324,20.6
28,4,37,9568,353,374,19.4
29,4,37,9947,366,390,17.7
30,4,37,10507,385,414,18.9
1,5,37,10922,405,410,19.3
