day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,6,2,0,.286,0
28,1,6,2,0,.286,0
29,1,6,2,0,.286,0
30,1,6,2,0,.286,0
31,1,6,3,0,.429,0
1,2,6,3,0,.286,0
2,2,6,6,0,.571,0
3,2,6,6,0,.571,0
4,2,6,6,0,.571,0
5,2,6,6,0,.571,0
6,2,6,6,0,.571,0
7,2,6,6,0,.429,0
8,2,6,6,0,.429,0
9,2,6,6,0,0,0
10,2,6,7,0,.143,0
11,2,6,7,0,.143,0
12,2,6,7,0,.143,0
13,2,6,7,0,.143,0
14,2,6,7,0,.143,0
15,2,6,7,0,.143,0
16,2,6,7,0,.143,0
17,2,6,7,0,0,0
18,2,6,7,0,0,0
19,2,6,7,0,0,0
20,2,6,8,0,.143,0
21,2,6,9,0,.286,0
22,2,6,9,0,.286,0
23,2,6,9,0,.286,0
24,2,6,11,0,.571,0
25,2,6,11,0,.571,0
26,2,6,26,0,2.71,0
27,2,6,26,0,2.57,0
28,2,6,27,0,2.57,0
29,2,6,28,0,2.71,0
1,3,6,33,0,3.43,0
2,3,6,38,0,3.86,0
3,3,6,45,0,4.86,0
4,3,6,55,1,4.14,.143
5,3,6,67,1,5.86,.143
6,3,6,81,1,7.71,.143
7,3,6,100,1,10.3,.143
8,3,6,112,1,11.3,.143
9,3,6,172,2,19.1,.286
10,3,6,179,3,19.1,.429
11,3,6,202,4,21,.429
12,3,6,252,4,26.4,.429
13,3,6,320,5,34.1,.571
14,3,6,381,5,40.1,.571
15,3,6,478,6,52.3,.714
16,3,6,588,11,59.4,1.29
17,3,6,732,14,79,1.57
18,3,6,893,17,98.7,1.86
19,3,6,1067,19,116,2.14
20,3,6,1283,24,138,2.71
21,3,6,1544,28,166,3.29
22,3,6,1851,35,196,4.14
23,3,6,2240,39,236,4
24,3,6,2644,52,273,5.43
25,3,6,3183,68,327,7.29
26,3,6,4060,83,428,9.14
27,3,6,4915,104,519,11.4
28,3,6,5566,122,575,13.4
29,3,6,6321,132,639,13.9
30,3,6,7421,147,740,15.4
31,3,6,8583,184,848,18.9
1,4,6,9857,212,953,20.6
2,4,6,11190,247,1019,23.4
3,4,6,12569,282,1093,25.4
4,4,6,13796,323,1176,28.7
5,4,6,15202,351,1269,31.3
6,4,6,16361,386,1277,34.1
7,4,6,17540,447,1280,37.6
8,4,6,19043,506,1312,42
9,4,6,20191,548,1286,43
10,4,6,21366,594,1257,44.6
11,4,6,22421,632,1232,44.1
12,4,6,23323,676,1160,46.4
13,4,6,24334,725,1139,48.4
14,4,6,25758,778,1174,47.3
15,4,6,27107,885,1152,54.1
16,4,6,28142,971,1136,60.4
17,4,6,29398,1050,1147,65.1
18,4,6,30829,1146,1201,73.4
19,4,6,31544,1176,1174,71.4
