day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,4,1,0,.143,0
28,1,4,1,0,.143,0
29,1,4,1,0,.143,0
30,1,4,1,0,.143,0
31,1,4,1,0,.143,0
1,2,4,1,0,.143,0
2,2,4,1,0,0,0
3,2,4,1,0,0,0
4,2,4,1,0,0,0
5,2,4,1,0,0,0
6,2,4,1,0,0,0
7,2,4,1,0,0,0
8,2,4,1,0,0,0
9,2,4,1,0,0,0
10,2,4,1,0,0,0
11,2,4,1,0,0,0
12,2,4,1,0,0,0
13,2,4,1,0,0,0
14,2,4,1,0,0,0
15,2,4,1,0,0,0
16,2,4,1,0,0,0
17,2,4,1,0,0,0
18,2,4,1,0,0,0
19,2,4,1,0,0,0
20,2,4,1,0,0,0
21,2,4,1,0,0,0
22,2,4,1,0,0,0
23,2,4,1,0,0,0
24,2,4,1,0,0,0
25,2,4,1,0,0,0
26,2,4,1,0,0,0
27,2,4,1,0,0,0
28,2,4,1,0,0,0
29,2,4,1,0,0,0
1,3,4,1,0,0,0
2,3,4,1,0,0,0
3,3,4,2,0,.143,0
4,3,4,2,0,.143,0
5,3,4,2,0,.143,0
6,3,4,3,0,.286,0
7,3,4,5,0,.571,0
8,3,4,5,0,.571,0
9,3,4,6,0,.714,0
10,3,4,6,0,.571,0
11,3,4,9,0,1,0
12,3,4,9,0,1,0
13,3,4,9,0,.857,0
14,3,4,12,0,1,0
15,3,4,13,0,1.14,0
16,3,4,18,0,1.71,0
17,3,4,20,0,2,0
18,3,4,28,0,2.71,0
19,3,4,47,0,5.43,0
20,3,4,70,1,8.71,.143
21,3,4,104,1,13.1,.143
22,3,4,153,2,20,.286
23,3,4,234,2,30.9,.286
24,3,4,326,6,43.7,.857
25,3,4,402,6,53.4,.857
26,3,4,508,8,65.9,1.14
27,3,4,665,15,85,2
28,3,4,773,15,95.6,2
29,3,4,930,18,111,2.29
30,3,4,1169,20,134,2.57
31,3,4,1298,24,139,2.57
1,4,4,1413,29,144,3.29
2,4,4,1600,35,156,3.86
3,4,4,1769,41,158,3.71
4,4,4,2019,53,178,5.43
5,4,4,2269,64,191,6.57
6,4,4,2466,67,185,6.71
7,4,4,2577,77,183,7.57
8,4,4,2726,80,188,7.29
9,4,4,3018,89,203,7.71
10,4,4,3112,97,192,8
11,4,4,3393,112,196,8.43
12,4,4,3539,117,181,7.57
13,4,4,3702,122,177,7.86
14,4,4,3806,131,176,7.71
15,4,4,3962,142,177,8.86
16,4,4,4234,152,174,9
17,4,4,4507,174,199,11
18,4,4,4719,181,189,9.86
19,4,4,4929,188,199,10.1
20,4,4,5064,191,195,9.86
21,4,4,5251,213,206,11.7
22,4,4,5459,236,214,13.4
23,4,4,5769,257,219,15
24,4,4,6045,268,220,13.4
25,4,4,6280,275,223,13.4
26,4,4,6526,277,228,12.7
27,4,4,6716,277,236,12.3
28,4,4,6948,297,242,12
29,4,4,7202,308,249,10.3
30,4,4,7648,320,268,9
1,5,4,7962,330,274,8.86
2,5,4,8364,353,298,11.1
3,5,4,8640,362,302,12.1
4,5,4,8919,362,315,12.1
5,5,4,9305,395,337,14
6,5,4,9707,426,358,16.9
7,5,4,9945,450,328,18.6
8,5,4,10526,517,366,26.7
9,5,4,10960,532,371,25.6
10,5,4,11119,536,354,24.9
11,5,4,11380,542,352,25.7
12,5,4,11736,562,347,23.9
13,5,4,12176,594,353,24
14,5,4,12674,624,390,24.9
15,5,4,13169,651,378,19.1
16,5,4,13631,679,382,21
17,5,4,13937,680,403,20.6
18,5,4,14170,686,399,20.6
19,5,4,14566,704,404,20.3
20,5,4,14897,747,389,21.9
21,5,4,15315,763,377,19.9
22,5,4,15608,775,348,17.7
23,5,4,16040,799,344,17.1
24,5,4,16339,800,343,17.1
25,5,4,16561,806,342,17.1
26,5,4,16783,807,317,14.7
27,5,4,17262,831,338,12
28,5,4,17763,857,350,13.4
29,5,4,18465,885,408,15.7
30,5,4,19255,903,459,14.9
31,5,4,19936,906,514,15.1
1,6,4,20123,918,509,16
