day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,30,0,0,0,0
28,1,30,0,0,0,0
29,1,30,0,0,0,0
30,1,30,0,0,0,0
31,1,30,0,0,0,0
1,2,30,0,0,0,0
2,2,30,0,0,0,0
3,2,30,0,0,0,0
4,2,30,0,0,0,0
5,2,30,0,0,0,0
6,2,30,0,0,0,0
7,2,30,0,0,0,0
8,2,30,0,0,0,0
9,2,30,0,0,0,0
10,2,30,0,0,0,0
11,2,30,0,0,0,0
12,2,30,0,0,0,0
13,2,30,0,0,0,0
14,2,30,0,0,0,0
15,2,30,0,0,0,0
16,2,30,0,0,0,0
17,2,30,0,0,0,0
18,2,30,0,0,0,0
19,2,30,0,0,0,0
20,2,30,0,0,0,0
21,2,30,0,0,0,0
22,2,30,0,0,0,0
23,2,30,0,0,0,0
24,2,30,0,0,0,0
25,2,30,0,0,0,0
26,2,30,0,0,0,0
27,2,30,0,0,0,0
28,2,30,0,0,0,0
29,2,30,0,0,0,0
1,3,30,0,0,0,0
2,3,30,0,0,0,0
3,3,30,0,0,0,0
4,3,30,0,0,0,0
5,3,30,0,0,0,0
6,3,30,0,0,0,0
7,3,30,0,0,0,0
8,3,30,0,0,0,0
9,3,30,0,0,0,0
10,3,30,0,0,0,0
11,3,30,0,0,0,0
12,3,30,0,0,0,0
13,3,30,4,0,.571,0
14,3,30,6,0,.857,0
15,3,30,6,0,.857,0
16,3,30,8,0,1.14,0
17,3,30,8,0,1.14,0
18,3,30,12,0,1.71,0
19,3,30,19,0,2.71,0
20,3,30,19,0,2.14,0
21,3,30,29,0,3.29,0
22,3,30,34,0,4,0
23,3,30,45,0,5.29,0
24,3,30,51,0,6.14,0
25,3,30,65,0,7.57,0
26,3,30,90,0,10.1,0
27,3,30,121,1,14.6,.143
28,3,30,147,1,16.9,.143
29,3,30,161,1,18.1,.143
30,3,30,177,4,18.9,.571
31,3,30,198,5,21,.714
1,4,30,219,5,22,.714
2,4,30,241,5,21.6,.714
3,4,30,262,5,20.1,.571
