day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,29,0,0,0,0
28,1,29,0,0,0,0
29,1,29,0,0,0,0
30,1,29,0,0,0,0
31,1,29,0,0,0,0
1,2,29,0,0,0,0
2,2,29,0,0,0,0
3,2,29,0,0,0,0
4,2,29,0,0,0,0
5,2,29,0,0,0,0
6,2,29,0,0,0,0
7,2,29,0,0,0,0
8,2,29,0,0,0,0
9,2,29,0,0,0,0
10,2,29,0,0,0,0
11,2,29,0,0,0,0
12,2,29,0,0,0,0
13,2,29,0,0,0,0
14,2,29,0,0,0,0
15,2,29,0,0,0,0
16,2,29,0,0,0,0
17,2,29,0,0,0,0
18,2,29,0,0,0,0
19,2,29,0,0,0,0
20,2,29,0,0,0,0
21,2,29,0,0,0,0
22,2,29,0,0,0,0
23,2,29,0,0,0,0
24,2,29,0,0,0,0
25,2,29,0,0,0,0
26,2,29,0,0,0,0
27,2,29,0,0,0,0
28,2,29,0,0,0,0
29,2,29,0,0,0,0
1,3,29,0,0,0,0
2,3,29,0,0,0,0
3,3,29,0,0,0,0
4,3,29,0,0,0,0
5,3,29,0,0,0,0
6,3,29,0,0,0,0
7,3,29,1,0,.143,0
8,3,29,1,0,.143,0
9,3,29,1,0,.143,0
10,3,29,1,0,.143,0
11,3,29,1,0,.143,0
12,3,29,2,0,.286,0
13,3,29,4,0,.571,0
14,3,29,5,0,.571,0
15,3,29,5,0,.571,0
16,3,29,9,0,1.14,0
17,3,29,16,0,2.14,0
18,3,29,21,1,2.86,.143
19,3,29,35,1,4.71,.143
20,3,29,73,3,9.86,.429
21,3,29,93,3,12.6,.429
22,3,29,130,3,17.9,.429
23,3,29,183,4,24.9,.571
24,3,29,255,5,34.1,.714
25,3,29,384,8,51.9,1
26,3,29,508,8,67.6,1
27,3,29,670,9,85.3,.857
28,3,29,837,11,106,1.14
29,3,29,902,12,110,1.29
30,3,29,1049,13,124,1.29
31,3,29,1350,15,156,1.43
1,4,29,1580,21,171,1.86
2,4,29,1834,28,189,2.86
3,4,29,2113,36,206,3.86
4,4,29,2291,44,208,4.71
5,4,29,2367,52,209,5.71
6,4,29,2722,56,239,6.14
7,4,29,3037,80,241,9.29
8,4,29,3327,86,250,9.29
9,4,29,3539,94,244,9.43
10,4,29,3799,105,241,9.86
11,4,29,4024,116,248,10.3
12,4,29,4160,116,256,9.14
13,4,29,4388,136,238,11.4
14,4,29,4686,151,236,10.1
15,4,29,4895,164,224,11.1
16,4,29,5111,170,225,10.9
17,4,29,5283,184,212,11.3
18,4,29,5517,194,213,11.1
19,4,29,5667,196,215,11.4
20,4,29,5807,201,203,9.29
21,4,29,5941,221,179,10
22,4,29,6137,236,177,10.3
23,4,29,6321,248,173,11.1
24,4,29,6625,267,192,11.9
25,4,29,6826,280,187,12.3
26,4,29,6997,282,190,12.3
27,4,29,7171,296,195,13.6
28,4,29,7306,324,195,14.7
29,4,29,7426,331,184,13.6
30,4,29,7563,341,177,13.3
1,5,29,7840,355,174,12.6
2,5,29,8154,373,190,13.3
3,5,29,8454,378,208,13.7
4,5,29,8776,387,229,13
5,5,29,8919,408,230,12
6,5,29,9164,429,248,14
7,5,29,9409,449,264,15.4
8,5,29,9573,481,248,18
9,5,29,9737,492,226,17
10,5,29,9906,502,207,17.7
11,5,29,10025,512,178,17.9
12,5,29,10124,528,172,17.1
13,5,29,10369,548,172,17
14,5,29,10490,564,154,16.4
15,5,29,10567,579,142,14
16,5,29,10794,593,151,14.4
17,5,29,11069,601,166,14.1
18,5,29,11225,609,171,13.9
19,5,29,11369,631,178,14.7
20,5,29,11510,643,163,13.6
21,5,29,11657,670,167,15.1
22,5,29,11797,680,176,14.4
23,5,29,11922,685,161,13.1
24,5,29,12114,689,149,12.6
25,5,29,12296,694,153,12.1
26,5,29,12437,698,153,9.57
27,5,29,12624,705,159,8.86
28,5,29,12815,715,165,6.43
29,5,29,12949,740,165,8.57
30,5,29,13118,782,171,13.9
31,5,29,13297,784,169,13.6
1,6,29,13523,786,175,13.1
2,6,29,13822,797,198,14.1
3,6,29,14020,801,199,13.7
4,6,29,14286,806,210,13
5,6,29,14515,816,224,10.9
6,6,29,14659,823,220,5.86
7,6,29,14985,823,241,5.57
8,6,29,15159,832,234,6.57
9,6,29,15396,854,225,8.14
10,6,29,15662,861,235,8.57
11,6,29,15924,873,234,9.57
12,6,29,16111,884,228,9.71
13,6,29,16327,890,238,9.57
14,6,29,16384,890,200,9.57
15,6,29,16712,895,222,9
16,6,29,16930,903,219,7
17,6,29,17151,924,213,9
18,6,29,17488,963,223,12.9
19,6,29,17780,973,238,12.7
20,6,29,18155,975,261,12.1
21,6,29,18552,975,310,12.1
22,6,29,18733,980,289,12.1
23,6,29,19148,993,317,12.9
24,6,29,19478,1001,332,11
25,6,29,20076,1006,370,6.14
26,6,29,20567,1019,398,6.57
27,6,29,20909,1021,393,6.57
28,6,29,21254,1023,386,6.86
29,6,29,21748,1026,431,6.57
30,6,29,22275,1037,447,6.29
1,7,29,22595,1049,445,6.86
2,7,29,23085,1056,430,7.14
3,7,29,23620,1060,436,5.86
4,7,29,24061,1062,450,5.86
5,7,29,24334,1062,440,5.57
6,7,29,24850,1068,443,6
7,7,29,25566,1083,470,6.57
8,7,29,26343,1089,535,5.71
9,7,29,27301,1095,602,5.57
10,7,29,28060,1107,634,6.71
11,7,29,28649,1112,655,7.14
12,7,29,29173,1113,691,7.29
13,7,29,29781,1126,704,8.29
14,7,29,30817,1136,750,7.57
15,7,29,31737,1141,771,7.43
16,7,29,32596,1145,756,7.14
17,7,29,33536,1151,782,6.29
18,7,29,34363,1158,816,6.57
19,7,29,35154,1158,854,6.43
20,7,29,36044,1164,895,5.43
21,7,29,37248,1175,919,5.57
22,7,29,38454,1196,960,7.86
23,7,29,39923,1212,1047,9.57
24,7,29,41224,1221,1098,10
25,7,29,42310,1224,1135,9.43
26,7,29,43477,1231,1189,10.4
27,7,29,44813,1245,1253,11.6
28,7,29,46225,1263,1282,12.6
29,7,29,47683,1269,1318,10.4
30,7,29,49671,1288,1393,10.9
31,7,29,51074,1305,1407,12
1,8,29,52012,1311,1386,12.4
2,8,29,52577,1311,1300,11.4
3,8,29,53676,1316,1266,10.1
4,8,29,54890,1330,1238,9.57
5,8,29,55951,1337,1181,9.71
6,8,29,57175,1349,1072,8.71
7,8,29,58321,1374,1035,9.86
8,8,29,58710,1381,957,10
9,8,29,59895,1386,1045,10.7
10,8,29,60882,1397,1029,11.6
11,8,29,61949,1402,1008,10.3
12,8,29,63372,1408,1060,10.1
13,8,29,64933,1417,1108,9.71
14,8,29,66305,1425,1141,7.29
15,8,29,67442,1431,1247,7.14
16,8,29,68493,1436,1228,7.14
17,8,29,69888,1468,1287,10.1
18,8,29,70759,1477,1259,10.7
19,8,29,71802,1490,1204,11.7
20,8,29,72912,1508,1140,13
21,8,29,74221,1511,1131,12.3
22,8,29,75468,1519,1147,12.6
23,8,29,76339,1519,1121,11.9
24,8,29,77254,1533,1052,9.29
25,8,29,78246,1553,1070,10.9
26,8,29,79588,1566,1112,10.9
27,8,29,80913,1583,1143,10.7
28,8,29,82449,1599,1175,12.6
29,8,29,83973,1613,1215,13.4
30,8,29,85133,1615,1256,13.7
31,8,29,86328,1623,1296,12.9
1,9,29,87414,1651,1310,14
2,9,29,88974,1669,1341,14.7
3,9,29,90392,1680,1354,13.9
4,9,29,91994,1698,1364,14.1
5,9,29,93713,1728,1391,16.4
6,9,29,94923,1739,1399,17.7
7,9,29,95795,1739,1352,16.6
8,9,29,97044,1746,1376,13.6
9,9,29,98446,1755,1353,12.3
10,9,29,99677,1773,1326,13.3
11,9,29,101285,1784,1327,12.3
12,9,29,103085,1802,1339,10.6
13,9,29,104603,1812,1383,10.4
14,9,29,106057,1812,1466,10.4
15,9,29,107687,1830,1520,12
16,9,29,108997,1844,1507,12.7
17,9,29,110554,1864,1554,13
18,9,29,112547,1892,1609,15.4
19,9,29,113794,1905,1530,14.7
20,9,29,115000,1896,1485,12
21,9,29,116814,1936,1537,17.7
22,9,29,118574,1974,1555,20.6
23,9,29,120124,2035,1590,27.3
24,9,29,121485,2055,1562,27.3
25,9,29,123544,2075,1571,26.1
26,9,29,124939,2118,1592,30.4
27,9,29,126115,2117,1588,31.6
28,9,29,127894,2132,1583,28
29,9,29,128816,2148,1463,24.9
30,9,29,130065,2157,1420,17.4
1,10,29,131778,2184,1470,18.4
2,10,29,133725,2207,1454,18.9
3,10,29,134826,2220,1412,14.6
4,10,29,135691,2220,1368,14.7
5,10,29,137297,2229,1343,13.9
6,10,29,139172,2258,1479,15.7
7,10,29,141262,2334,1600,25.3
8,10,29,142732,2360,1565,25.1
9,10,29,145034,2463,1616,36.6
10,10,29,148199,2483,1910,37.6
11,10,29,148481,2483,1827,37.6
12,10,29,149460,2484,1738,36.4
13,10,29,150496,2495,1618,33.9
14,10,29,154213,2598,1850,37.7
15,10,29,156142,2531,1916,24.4
16,10,29,158764,2550,1961,12.4
17,10,29,160654,2645,1779,23.1
18,10,29,162156,2648,1954,23.6
19,10,29,164249,2660,2113,25.1
20,10,29,164891,2668,2056,24.7
21,10,29,167435,2716,1889,16.9
22,10,29,169311,2734,1881,29
23,10,29,171867,2764,1872,30.6
24,10,29,173742,2854,1870,29.9
25,10,29,175239,2857,1869,29.9
26,10,29,177729,2869,1926,29.9
27,10,29,.,.,.,.
