day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,20,0,0,0,0
28,1,20,0,0,0,0
29,1,20,0,0,0,0
30,1,20,0,0,0,0
31,1,20,0,0,0,0
1,2,20,0,0,0,0
2,2,20,0,0,0,0
3,2,20,0,0,0,0
4,2,20,0,0,0,0
5,2,20,0,0,0,0
6,2,20,0,0,0,0
7,2,20,0,0,0,0
8,2,20,0,0,0,0
9,2,20,0,0,0,0
10,2,20,0,0,0,0
11,2,20,0,0,0,0
12,2,20,0,0,0,0
13,2,20,0,0,0,0
14,2,20,0,0,0,0
15,2,20,0,0,0,0
16,2,20,0,0,0,0
17,2,20,0,0,0,0
18,2,20,0,0,0,0
19,2,20,0,0,0,0
20,2,20,0,0,0,0
21,2,20,0,0,0,0
22,2,20,0,0,0,0
23,2,20,0,0,0,0
24,2,20,0,0,0,0
25,2,20,0,0,0,0
26,2,20,0,0,0,0
27,2,20,0,0,0,0
28,2,20,0,0,0,0
29,2,20,0,0,0,0
1,3,20,0,0,0,0
2,3,20,0,0,0,0
3,3,20,0,0,0,0
4,3,20,0,0,0,0
5,3,20,0,0,0,0
6,3,20,0,0,0,0
7,3,20,1,0,.143,0
8,3,20,1,0,.143,0
9,3,20,1,0,.143,0
10,3,20,1,0,.143,0
11,3,20,1,0,.143,0
12,3,20,5,1,.714,.143
13,3,20,6,1,.857,.143
14,3,20,8,1,1,.143
15,3,20,9,1,1.14,.143
16,3,20,11,1,1.43,.143
17,3,20,17,1,2.29,.143
18,3,20,22,1,3,.143
19,3,20,35,1,4.29,0
20,3,20,49,1,6.14,0
21,3,20,57,2,7,.143
22,3,20,66,2,8.14,.143
23,3,20,82,2,10.1,.143
24,3,20,102,3,12.1,.286
25,3,20,134,3,16,.286
26,3,20,173,3,19.7,.286
27,3,20,213,4,23.4,.429
28,3,20,272,6,30.7,.571
29,3,20,333,7,38.1,.714
30,3,20,374,9,41.7,1
31,3,20,435,10,47.6,1
1,4,20,489,11,50.7,1.14
2,4,20,554,14,54.4,1.57
3,4,20,625,19,58.9,2.14
4,4,20,702,21,61.4,2.14
5,4,20,769,23,62.3,2.29
6,4,20,854,25,68.6,2.29
7,4,20,905,30,67.1,2.86
8,4,20,1055,38,80.9,3.86
9,4,20,1116,42,80.3,4
