day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,33,0,0,0,0
28,1,33,0,0,0,0
29,1,33,0,0,0,0
30,1,33,0,0,0,0
31,1,33,0,0,0,0
1,2,33,0,0,0,0
2,2,33,0,0,0,0
3,2,33,0,0,0,0
4,2,33,0,0,0,0
5,2,33,0,0,0,0
6,2,33,0,0,0,0
7,2,33,0,0,0,0
8,2,33,0,0,0,0
9,2,33,0,0,0,0
10,2,33,0,0,0,0
11,2,33,0,0,0,0
12,2,33,0,0,0,0
13,2,33,0,0,0,0
14,2,33,0,0,0,0
15,2,33,0,0,0,0
16,2,33,0,0,0,0
17,2,33,0,0,0,0
18,2,33,0,0,0,0
19,2,33,0,0,0,0
20,2,33,0,0,0,0
21,2,33,0,0,0,0
22,2,33,0,0,0,0
23,2,33,0,0,0,0
24,2,33,0,0,0,0
25,2,33,0,0,0,0
26,2,33,0,0,0,0
27,2,33,0,0,0,0
28,2,33,0,0,0,0
29,2,33,0,0,0,0
1,3,33,0,0,0,0
2,3,33,1,0,.143,0
3,3,33,2,0,.286,0
4,3,33,2,0,.286,0
5,3,33,2,0,.286,0
6,3,33,2,0,.286,0
7,3,33,4,0,.571,0
8,3,33,4,0,.571,0
9,3,33,4,0,.429,0
10,3,33,5,0,.429,0
11,3,33,5,0,.429,0
12,3,33,6,0,.571,0
13,3,33,7,0,.714,0
14,3,33,7,0,.429,0
15,3,33,13,0,1.29,0
16,3,33,17,0,1.86,0
17,3,33,26,0,3,0
18,3,33,39,0,4.86,0
19,3,33,44,0,5.43,0
20,3,33,55,0,6.86,0
21,3,33,65,0,8.29,0
22,3,33,78,0,9.29,0
23,3,33,101,1,12,.143
24,3,33,108,1,11.7,.143
25,3,33,137,1,14,.143
26,3,33,158,1,16.3,.143
27,3,33,187,2,18.9,.286
28,3,33,214,2,21.3,.286
29,3,33,258,3,25.7,.429
30,3,33,314,3,30.4,.286
31,3,33,367,3,37,.286
1,4,33,415,4,39.7,.429
2,4,33,479,5,45.9,.571
3,4,33,540,7,50.4,.714
4,4,33,621,9,58.1,1
5,4,33,669,9,58.7,.857
6,4,33,715,9,57.3,.857
7,4,33,747,13,54.3,1.43
8,4,33,788,18,53.3,2
9,4,33,819,21,48.6,2.29
10,4,33,885,22,49.3,2.14
11,4,33,929,23,44,2
12,4,33,985,23,45.1,2
13,4,33,1020,23,43.6,2
14,4,33,1091,27,49.1,2
15,4,33,1139,32,50.1,2
16,4,33,1211,34,56,1.86
17,4,33,1287,37,57.4,2.14
18,4,33,1342,38,59,2.14
19,4,33,1392,41,58.1,2.57
20,4,33,1447,42,61,2.71
21,4,33,1491,42,57.1,2.14
22,4,33,1588,48,64.1,2.29
23,4,33,1670,51,65.6,2.43
24,4,33,1720,53,61.9,2.29
25,4,33,1793,60,64.4,3.14
26,4,33,1864,60,67.4,2.71
27,4,33,1938,60,70.1,2.57
28,4,33,2010,60,74.1,2.57
29,4,33,2054,66,66.6,2.57
30,4,33,2146,72,68,3
1,5,33,2310,81,84.3,4
2,5,33,2429,84,90.9,3.43
3,5,33,2518,86,93.4,3.71
4,5,33,2588,86,92.9,3.71
5,5,33,2636,92,89.4,4.57
6,5,33,2741,111,98.1,6.43
7,5,33,2843,114,99.6,6
8,5,33,2947,121,91,5.71
9,5,33,3011,131,83.1,6.71
10,5,33,3071,133,79,6.71
11,5,33,3160,133,81.7,6.71
12,5,33,3239,142,86.1,7.14
13,5,33,3299,150,79.7,5.57
14,5,33,3382,151,77,5.29
15,5,33,3464,159,73.9,5.43
16,5,33,3556,171,77.9,5.71
17,5,33,3596,172,75,5.57
18,5,33,3652,172,70.3,5.57
19,5,33,3721,182,68.9,5.71
20,5,33,3868,190,81.3,5.71
21,5,33,3935,199,79,6.86
22,5,33,4014,204,78.6,6.43
23,5,33,4089,208,76.1,5.29
24,5,33,4149,209,79,5.29
25,5,33,4197,210,77.9,5.43
26,5,33,4231,214,72.9,4.57
27,5,33,4286,223,59.7,4.71
28,5,33,4389,232,64.9,4.71
29,5,33,4492,238,68.3,4.86
30,5,33,4545,242,65.1,4.86
31,5,33,4651,245,71.7,5.14
1,6,33,4685,245,69.7,5
2,6,33,4749,256,74,6
3,6,33,4795,265,72.7,6
4,6,33,4876,273,69.6,5.86
5,6,33,4953,278,65.9,5.71
6,6,33,5019,283,67.7,5.86
7,6,33,5043,286,56,5.86
8,6,33,5079,286,56.3,5.86
9,6,33,5132,294,54.7,5.43
10,6,33,5178,301,54.7,5.14
11,6,33,5209,308,47.6,5
12,6,33,5251,315,42.6,5.29
13,6,33,5299,318,40,5
14,6,33,5318,320,39.3,4.86
15,6,33,5345,320,38,4.86
16,6,33,5364,326,33.1,4.57
17,6,33,5436,330,36.9,4.14
18,6,33,5450,331,34.4,3.29
19,6,33,5486,337,33.6,3.14
20,6,33,5518,339,31.3,3
21,6,33,5544,339,32.3,2.71
22,6,33,5558,339,30.4,2.71
23,6,33,5571,343,29.6,2.43
24,6,33,5598,347,23.1,2.43
25,6,33,5638,357,26.9,3.71
26,6,33,5671,365,26.4,4
27,6,33,5717,367,28.4,4
28,6,33,5747,367,29,4
29,6,33,5760,367,28.9,4
30,6,33,5782,371,30.1,4
1,7,33,5802,373,29.1,3.71
2,7,33,5822,375,26.3,2.57
3,7,33,5857,376,26.6,1.57
4,7,33,5871,380,22,1.86
5,7,33,5897,381,21.4,2
6,7,33,5914,382,22,2.14
7,7,33,5932,384,21.4,1.86
8,7,33,5952,386,21.4,1.86
9,7,33,5973,387,21.6,1.71
10,7,33,5991,390,19.1,2
11,7,33,6024,391,21.9,1.57
12,7,33,6054,391,22.4,1.43
13,7,33,6068,391,22,1.29
14,7,33,6091,392,22.7,1.14
15,7,33,6113,394,23,1.14
16,7,33,6139,395,23.7,1.14
17,7,33,6165,395,24.9,.714
18,7,33,6188,396,23.4,.714
19,7,33,6203,398,21.3,1
20,7,33,6249,398,25.9,1
21,7,33,6262,400,24.4,1.14
22,7,33,6295,402,26,1.14
23,7,33,6318,405,25.6,1.43
24,7,33,6375,407,30,1.71
25,7,33,6415,409,32.4,1.86
26,7,33,6436,409,33.3,1.57
27,7,33,6441,409,27.4,1.57
28,7,33,6500,409,34,1.29
29,7,33,6513,411,31.1,1.29
30,7,33,6544,415,32.3,1.43
31,7,33,6583,415,29.7,1.14
1,8,33,6613,416,28.3,1
2,8,33,6634,417,28.3,1.14
3,8,33,6660,417,31.3,1.14
4,8,33,6693,418,27.6,1.29
5,8,33,6719,418,29.4,1
6,8,33,6742,419,28.3,.571
7,8,33,6779,419,28,.571
8,8,33,6818,419,29.3,.429
9,8,33,6831,419,28.1,.286
10,8,33,6840,419,25.7,.286
11,8,33,6861,419,24,.143
12,8,33,6887,420,24,.286
13,8,33,6921,422,25.6,.429
14,8,33,6964,423,26.4,.571
15,8,33,6980,423,23.1,.571
