day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,8,0,0,0,0
28,1,8,0,0,0,0
29,1,8,0,0,0,0
30,1,8,0,0,0,0
31,1,8,0,0,0,0
1,2,8,0,0,0,0
2,2,8,0,0,0,0
3,2,8,0,0,0,0
4,2,8,0,0,0,0
5,2,8,0,0,0,0
6,2,8,0,0,0,0
7,2,8,0,0,0,0
8,2,8,0,0,0,0
9,2,8,0,0,0,0
10,2,8,0,0,0,0
11,2,8,0,0,0,0
12,2,8,0,0,0,0
13,2,8,0,0,0,0
14,2,8,0,0,0,0
15,2,8,0,0,0,0
16,2,8,0,0,0,0
17,2,8,0,0,0,0
18,2,8,0,0,0,0
19,2,8,0,0,0,0
20,2,8,0,0,0,0
21,2,8,0,0,0,0
22,2,8,0,0,0,0
23,2,8,0,0,0,0
24,2,8,0,0,0,0
25,2,8,0,0,0,0
26,2,8,0,0,0,0
27,2,8,0,0,0,0
28,2,8,0,0,0,0
29,2,8,0,0,0,0
1,3,8,0,0,0,0
2,3,8,0,0,0,0
3,3,8,0,0,0,0
4,3,8,0,0,0,0
5,3,8,2,0,.286,0
6,3,8,8,0,1.14,0
7,3,8,8,0,1.14,0
8,3,8,8,0,1.14,0
9,3,8,12,0,1.71,0
10,3,8,17,0,2.43,0
11,3,8,34,0,4.86,0
12,3,8,49,1,6.71,.143
13,3,8,78,2,10,.286
14,3,8,103,2,13.6,.286
15,3,8,136,2,18.3,.286
16,3,8,161,2,21.3,.286
17,3,8,183,3,23.7,.429
18,3,8,216,3,26,.429
19,3,8,278,5,32.7,.571
20,3,8,364,5,40.9,.429
21,3,8,475,6,53.1,.571
22,3,8,591,7,65,.714
23,3,8,721,10,80,1.14
24,3,8,912,11,104,1.14
25,3,8,1086,19,124,2.29
26,3,8,1432,24,165,2.71
27,3,8,1735,31,196,3.71
28,3,8,2061,44,227,5.43
29,3,8,2315,47,246,5.71
30,3,8,2628,51,272,5.86
31,3,8,2990,69,297,8.29
1,4,8,3346,80,323,8.71
2,4,8,3728,96,328,10.3
3,4,8,4182,110,350,11.3
4,4,8,4574,126,359,11.7
5,4,8,4950,140,376,13.3
6,4,8,5172,150,363,14.1
7,4,8,5429,179,348,15.7
8,4,8,5655,192,330,16
9,4,8,6202,227,353,18.7
10,4,8,6510,253,333,20.4
11,4,8,6893,274,331,21.1
12,4,8,7303,290,336,21.4
13,4,8,7691,308,360,22.6
14,4,8,7941,329,359,21.4
15,4,8,8280,355,375,23.3
16,4,8,8675,374,353,21
17,4,8,9047,389,362,19.4
18,4,8,9433,409,363,19.3
19,4,8,9730,421,347,18.7
20,4,8,10106,448,345,20
21,4,8,10447,484,358,22.1
22,4,8,10878,526,371,24.4
23,4,8,11262,557,370,26.1
24,4,8,12255,672,458,40.4
25,4,8,12967,670,505,37.3
26,4,8,13440,678,530,36.7
27,4,8,13804,705,528,36.7
28,4,8,14239,734,542,35.7
29,4,8,14680,764,543,34
30,4,8,15207,775,564,31.1
1,5,8,15661,818,487,20.9
2,5,8,16118,830,450,22.9
3,5,8,16527,840,441,23.1
4,5,8,16799,849,428,20.6
5,5,8,17256,901,431,23.9
6,5,8,17720,919,434,22.1
7,5,8,18264,942,437,23.9
8,5,8,18719,958,437,20
9,5,8,19267,965,450,19.3
10,5,8,19595,969,438,18.4
11,5,8,19793,986,428,19.6
12,5,8,20103,1009,407,15.4
13,5,8,20442,1062,389,20.4
14,5,8,20813,1091,364,21.3
15,5,8,21207,1150,355,27.4
16,5,8,21604,1192,334,32.4
17,5,8,21909,1215,331,35.1
18,5,8,22174,1224,340,34
19,5,8,22454,1257,336,35.4
