day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,47,0,0,0,0
28,1,47,0,0,0,0
29,1,47,0,0,0,0
30,1,47,0,0,0,0
31,1,47,0,0,0,0
1,2,47,0,0,0,0
2,2,47,0,0,0,0
3,2,47,0,0,0,0
4,2,47,0,0,0,0
5,2,47,0,0,0,0
6,2,47,0,0,0,0
7,2,47,0,0,0,0
8,2,47,0,0,0,0
9,2,47,0,0,0,0
10,2,47,0,0,0,0
11,2,47,0,0,0,0
12,2,47,0,0,0,0
13,2,47,0,0,0,0
14,2,47,0,0,0,0
15,2,47,0,0,0,0
16,2,47,0,0,0,0
17,2,47,0,0,0,0
18,2,47,0,0,0,0
19,2,47,0,0,0,0
20,2,47,0,0,0,0
21,2,47,0,0,0,0
22,2,47,0,0,0,0
23,2,47,0,0,0,0
24,2,47,0,0,0,0
25,2,47,0,0,0,0
26,2,47,0,0,0,0
27,2,47,0,0,0,0
28,2,47,0,0,0,0
29,2,47,0,0,0,0
1,3,47,0,0,0,0
2,3,47,0,0,0,0
3,3,47,0,0,0,0
4,3,47,0,0,0,0
5,3,47,1,0,.143,0
6,3,47,1,0,.143,0
7,3,47,1,0,.143,0
8,3,47,3,0,.429,0
9,3,47,4,0,.571,0
10,3,47,7,0,1,0
11,3,47,8,0,1.14,0
12,3,47,18,0,2.43,0
13,3,47,26,0,3.57,0
14,3,47,32,0,4.43,0
15,3,47,39,0,5.14,0
16,3,47,52,0,6.86,0
17,3,47,73,0,9.43,0
18,3,47,98,0,12.9,0
19,3,47,155,0,19.6,0
20,3,47,237,0,30.1,0
21,3,47,312,2,40,.286
22,3,47,424,2,55,.286
23,3,47,522,2,67.1,.286
24,3,47,678,2,86.4,.286
25,3,47,806,3,101,.429
26,3,47,981,3,118,.429
27,3,47,1180,6,135,.857
28,3,47,1363,6,150,.571
29,3,47,1569,7,164,.714
30,3,47,1721,13,171,1.57
31,3,47,2049,13,196,1.57
1,4,47,2689,23,269,2.86
2,4,47,2868,32,270,4.14
3,4,47,3032,38,265,4.57
4,4,47,3265,47,272,5.86
5,4,47,3538,50,281,6.14
6,4,47,3753,65,290,7.43
7,4,47,4010,72,280,8.43
8,4,47,4246,83,222,8.57
9,4,47,4456,95,227,9
10,4,47,4793,104,252,9.43
11,4,47,4983,107,245,8.57
12,4,47,5144,107,229,8.14
13,4,47,5483,114,247,7
14,4,47,5654,123,235,7.29
15,4,47,5864,135,231,7.43
16,4,47,6077,142,232,6.71
17,4,47,6423,146,233,6
18,4,47,6624,148,234,5.86
19,4,47,6824,151,240,6.29
20,4,47,6994,156,216,6
21,4,47,7317,159,238,5.14
22,4,47,7681,169,260,4.86
23,4,47,8169,172,299,4.29
24,4,47,8618,172,314,3.71
25,4,47,8918,179,328,4.43
26,4,47,9435,182,373,4.43
27,4,47,9739,184,392,4
28,4,47,9974,190,380,4.43
29,4,47,10255,196,368,3.86
30,4,47,10506,200,334,4
1,5,47,11781,205,452,4.71
2,5,47,12376,210,494,4.43
3,5,47,12871,211,491,4.14
4,5,47,13283,216,506,4.57
5,5,47,13555,225,512,5
6,5,47,13737,237,497,5.86
7,5,47,14108,238,515,5.43
8,5,47,14276,240,356,5
9,5,47,14675,241,328,4.43
10,5,47,15060,242,313,4.43
11,5,47,15423,248,306,4.57
12,5,47,15777,264,317,5.57
13,5,47,16261,271,361,4.86
14,5,47,16588,284,354,6.57
15,5,47,16917,288,377,6.86
16,5,47,17204,292,361,7.29
17,5,47,17391,293,333,7.29
18,5,47,17767,296,335,6.86
19,5,47,18301,301,361,5.29
20,5,47,18534,309,325,5.43
21,5,47,18970,313,340,4.14
22,5,47,19364,315,350,3.86
23,5,47,19765,325,366,4.71
24,5,47,20116,332,389,5.57
25,5,47,20533,334,395,5.43
26,5,47,20960,339,380,5.43
27,5,47,21360,353,404,6.29
28,5,47,21763,352,399,5.57
29,5,47,22199,356,405,5.86
30,5,47,22676,360,416,5
31,5,47,22832,360,388,4
1,6,47,23242,361,387,3.86
2,6,47,24498,378,505,5.57
3,6,47,25024,386,523,4.71
4,6,47,25374,401,516,7
5,6,47,25799,405,514,7
6,6,47,26359,413,526,7.57
7,6,47,26811,414,568,7.71
8,6,47,27217,417,568,8
9,6,47,27865,430,481,7.43
10,6,47,28379,436,479,7.14
11,6,47,28766,441,485,5.71
12,6,47,29218,461,488,8
13,6,47,29616,465,465,7.43
14,6,47,30174,467,480,7.57
15,6,47,30945,477,533,8.57
16,6,47,31623,487,537,8.14
17,6,47,32112,493,533,8.14
18,6,47,32604,504,548,9
19,6,47,33603,508,626,6.71
20,6,47,34223,516,658,7.29
21,6,47,34719,519,649,7.43
22,6,47,35255,525,616,6.86
23,6,47,36018,535,628,6.86
24,6,47,36822,548,673,7.86
25,6,47,37695,558,727,7.71
26,6,47,38802,569,743,8.71
27,6,47,39813,577,799,8.71
28,6,47,39945,577,747,8.29
29,6,47,41388,585,876,8.57
30,6,47,42815,597,971,8.86
1,7,47,44360,602,1077,7.71
2,7,47,46176,612,1212,7.71
3,7,47,47882,626,1297,8.14
4,7,47,49232,630,1346,7.57
5,7,47,50365,639,1489,8.86
6,7,47,51509,646,1446,8.71
7,7,47,52643,657,1404,8.57
8,7,47,54756,678,1485,10.9
9,7,47,56531,700,1479,12.6
10,7,47,58224,713,1477,12.4
11,7,47,59981,728,1536,14
12,7,47,61106,731,1534,13.1
13,7,47,63615,738,1729,13.1
14,7,47,65412,757,1824,14.3
15,7,47,67515,773,1823,13.6
16,7,47,69827,786,1899,12.3
17,7,47,72072,805,1978,13.1
18,7,47,74518,828,2077,14.3
19,7,47,76180,834,2153,14.7
20,7,47,77944,838,2047,14.3
21,7,47,80026,863,2088,15.1
22,7,47,82172,878,2094,15
23,7,47,84652,913,2118,18.1
24,7,47,86667,926,2085,17.3
25,7,47,88459,953,1992,17.9
26,7,47,91330,955,2164,17.3
27,7,47,93869,965,2275,18.1
28,7,47,96318,988,2327,17.9
29,7,47,98145,1008,2282,18.6
30,7,47,100166,1022,2216,15.6
31,7,47,103144,1047,2354,17.3
1,8,47,105455,1056,2428,14.7
2,8,47,106804,1062,2211,15.3
3,8,47,107900,1078,2004,16.1
4,8,47,109652,1103,1905,16.4
5,8,47,111305,1130,1880,17.4
6,8,47,113519,1170,1908,21.1
7,8,47,115940,1190,1828,20.4
8,8,47,117725,1201,1753,20.7
9,8,47,119788,1209,1855,21
10,8,47,120967,1223,1867,20.7
11,8,47,122003,1259,1764,22.3
12,8,47,123489,1274,1741,20.6
13,8,47,125487,1300,1710,18.6
14,8,47,127465,1312,1646,17.4
15,8,47,128771,1331,1578,18.6
16,8,47,130620,1349,1547,20
17,8,47,131742,1370,1539,21
18,8,47,132796,1410,1542,21.6
19,8,47,134810,1437,1617,23.3
20,8,47,136260,1470,1539,24.3
21,8,47,137932,1528,1495,30.9
22,8,47,139366,1542,1514,30.1
23,8,47,141000,1547,1483,28.3
24,8,47,141675,1578,1419,29.7
25,8,47,142501,1605,1386,27.9
26,8,47,144400,1623,1370,26.6
27,8,47,146183,1650,1418,25.7
28,8,47,147814,1675,1412,21
29,8,47,149310,1700,1421,22.6
30,8,47,150249,1722,1321,25
31,8,47,152033,1727,1480,21.3
1,9,47,153274,1753,1539,21.1
2,9,47,154833,1768,1490,20.7
3,9,47,157028,1791,1549,20.1
4,9,47,158120,1813,1472,19.7
5,9,47,159893,1838,1512,19.7
6,9,47,161589,1841,1620,17
7,9,47,162531,1845,1500,16.9
8,9,47,163180,1873,1415,17.1
9,9,47,164032,1908,1314,20
10,9,47,165911,1963,1269,24.6
11,9,47,167263,1999,1306,26.6
12,9,47,168552,2040,1237,28.9
13,9,47,169310,2055,1103,30.6
14,9,47,171498,2073,1281,32.6
15,9,47,172692,2102,1359,32.7
16,9,47,174400,2127,1481,31.3
17,9,47,175702,2141,1399,25.4
18,9,47,177707,2173,1492,24.9
19,9,47,179017,2193,1495,21.9
20,9,47,180621,2195,1616,20
21,9,47,181725,2209,1461,19.4
22,9,47,182546,2236,1408,19.1
23,9,47,184068,2252,1381,17.9
24,9,47,185121,2287,1346,20.9
25,9,47,186769,2326,1295,21.9
26,9,47,188205,2347,1313,22
27,9,47,190037,2350,1345,22.1
28,9,47,190991,2362,1324,21.9
29,9,47,191859,2393,1330,22.4
30,9,47,193357,2429,1327,25.3
1,10,47,194601,2473,1354,26.6
2,10,47,195680,2489,1273,23.3
3,10,47,196870,2534,1238,26.7
4,10,47,198262,2550,1175,28.6
5,10,47,200603,2570,1373,29.7
6,10,47,202257,2594,1485,28.7
7,10,47,204286,2615,1561,26.6
8,10,47,206265,2676,1666,29
9,10,47,207823,2702,1735,30.4
10,10,47,209593,2729,1818,27.9
11,10,47,211426,2738,1881,26.9
12,10,47,214245,2745,1949,25
13,10,47,215423,2768,1881,24.9
14,10,47,217140,2801,1836,26.6
15,10,47,219355,2836,1870,22.9
16,10,47,220099,2847,1754,20.7
17,10,47,222608,2875,1859,20.9
18,10,47,225126,2884,1957,20.9
19,10,47,228267,2896,2003,21.6
20,10,47,229794,2924,2053,22.3
21,10,47,232100,2946,2137,20.7
22,10,47,234079,2983,2103,21
23,10,47,237607,3043,2501,28
24,10,47,240191,3067,2512,27.4
25,10,47,243508,3105,2626,31.6
26,10,47,245760,3132,2499,33.7
27,10,47,.,.,.,.
