day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,5,0,0,0,0
28,1,5,0,0,0,0
29,1,5,0,0,0,0
30,1,5,0,0,0,0
31,1,5,0,0,0,0
1,2,5,0,0,0,0
2,2,5,0,0,0,0
3,2,5,0,0,0,0
4,2,5,0,0,0,0
5,2,5,0,0,0,0
6,2,5,0,0,0,0
7,2,5,0,0,0,0
8,2,5,0,0,0,0
9,2,5,0,0,0,0
10,2,5,0,0,0,0
11,2,5,0,0,0,0
12,2,5,0,0,0,0
13,2,5,0,0,0,0
14,2,5,0,0,0,0
15,2,5,0,0,0,0
16,2,5,0,0,0,0
17,2,5,0,0,0,0
18,2,5,0,0,0,0
19,2,5,0,0,0,0
20,2,5,0,0,0,0
21,2,5,0,0,0,0
22,2,5,0,0,0,0
23,2,5,0,0,0,0
24,2,5,0,0,0,0
25,2,5,0,0,0,0
26,2,5,0,0,0,0
27,2,5,0,0,0,0
28,2,5,0,0,0,0
29,2,5,0,0,0,0
1,3,5,0,0,0,0
2,3,5,0,0,0,0
3,3,5,0,0,0,0
4,3,5,0,0,0,0
5,3,5,0,0,0,0
6,3,5,0,0,0,0
7,3,5,0,0,0,0
8,3,5,0,0,0,0
9,3,5,0,0,0,0
10,3,5,0,0,0,0
11,3,5,1,0,.143,0
12,3,5,6,0,.857,0
13,3,5,7,0,1,0
14,3,5,9,0,1.29,0
15,3,5,16,0,2.29,0
16,3,5,22,0,3.14,0
17,3,5,22,0,3.14,0
18,3,5,33,0,4.57,0
19,3,5,62,0,8,0
20,3,5,100,0,13.3,0
21,3,5,118,0,15.6,0
22,3,5,165,0,21.3,0
23,3,5,201,0,25.6,0
24,3,5,231,2,29.9,.286
25,3,5,307,2,39.1,.286
26,3,5,350,3,41.1,.429
27,3,5,385,3,40.7,.429
28,3,5,409,5,41.6,.714
29,3,5,449,6,40.6,.857
30,3,5,508,7,43.9,1
31,3,5,564,8,47.6,.857
1,4,5,624,10,45.3,1.14
2,4,5,683,12,47.6,1.29
3,4,5,738,12,50.4,1.29
4,4,5,743,14,47.7,1.29
5,4,5,853,16,57.7,1.43
6,4,5,927,16,59.9,1.29
7,4,5,997,18,61.9,1.43
8,4,5,1077,18,64.7,1.14
9,4,5,1146,21,66.1,1.29
10,4,5,1202,24,66.3,1.71
11,4,5,1228,25,69.3,1.57
12,4,5,1280,27,61,1.57
13,4,5,1475,30,78.3,2
14,4,5,1498,32,71.6,2
15,4,5,1599,34,74.6,2.29
16,4,5,1620,37,67.7,2.29
17,4,5,1695,37,70.4,1.86
18,4,5,1777,38,78.4,1.86
19,4,5,1781,39,71.6,1.71
20,4,5,1971,42,70.9,1.71
21,4,5,2262,43,109,1.57
22,4,5,2392,44,113,1.43
23,4,5,2599,45,140,1.14
24,4,5,2810,47,159,1.43
25,4,5,2909,48,162,1.43
26,4,5,3001,50,174,1.57
27,4,5,3069,51,157,1.29
28,4,5,3127,57,124,2
29,4,5,3207,59,116,2.14
30,4,5,3281,61,97.4,2.29
1,5,5,3310,64,71.4,2.43
2,5,5,3372,72,66.1,3.43
3,5,5,3431,76,61.4,3.71
4,5,5,3469,80,57.1,4.14
5,5,5,3525,83,56.9,3.71
6,5,5,3611,87,57.7,4
7,5,5,3694,88,59,3.86
8,5,5,3747,88,62.4,3.43
9,5,5,3747,88,53.6,2.29
10,5,5,4012,91,83,2.14
11,5,5,4043,94,82,2
12,5,5,4164,95,91.3,1.71
13,5,5,4236,97,89.3,1.43
14,5,5,4366,98,96,1.43
15,5,5,4463,98,102,1.43
16,5,5,4578,98,119,1.43
17,5,5,4759,98,107,1
18,5,5,4813,100,110,.857
19,5,5,4923,102,108,1
20,5,5,5003,107,110,1.43
21,5,5,5458,110,156,1.71
22,5,5,5612,113,164,2.14
23,5,5,5775,115,171,2.43
24,5,5,5922,116,166,2.57
25,5,5,6029,117,174,2.43
26,5,5,6180,119,180,2.43
27,5,5,6277,120,182,1.86
28,5,5,6538,125,154,2.14
29,5,5,6777,132,166,2.71
30,5,5,7013,133,177,2.57
31,5,5,7253,133,190,2.43
1,6,5,7443,133,202,2.29
2,6,5,7818,136,234,2.43
3,6,5,8067,142,256,3.14
4,6,5,8425,151,270,3.71
5,6,5,8651,152,268,2.86
6,6,5,9101,154,298,3
7,6,5,9426,154,310,3
8,6,5,9740,155,328,3.14
9,6,5,10080,161,323,3.57
10,6,5,10368,165,329,3.29
11,6,5,10816,171,342,2.86
12,6,5,11547,176,414,3.43
13,6,5,12095,177,428,3.29
14,6,5,12501,179,439,3.57
15,6,5,12917,182,454,3.86
16,6,5,13191,188,444,3.86
17,6,5,13606,197,463,4.57
18,6,5,13928,208,445,5.29
19,6,5,14631,214,441,5.43
20,6,5,15142,224,435,6.71
21,6,5,15561,225,437,6.57
22,6,5,16083,227,452,6.43
23,6,5,16678,237,498,7
24,6,5,17375,240,538,6.14
25,6,5,18062,240,591,4.57
26,6,5,18740,249,587,5
27,6,5,19310,259,595,5
28,6,5,19818,264,608,5.57
29,6,5,20257,265,596,5.43
30,6,5,20777,270,586,4.71
1,7,5,21197,277,546,5.29
2,7,5,22075,279,573,5.57
3,7,5,22622,281,555,4.57
4,7,5,23209,286,557,3.86
5,7,5,23814,287,571,3.29
6,7,5,24253,292,571,3.86
7,7,5,24512,301,534,4.43
8,7,5,25246,305,578,4
9,7,5,26052,309,568,4.29
10,7,5,26803,313,597,4.57
11,7,5,27864,319,665,4.71
12,7,5,28367,321,650,4.86
13,7,5,28939,323,669,4.43
14,7,5,29733,331,746,4.29
15,7,5,30297,335,722,4.29
16,7,5,31114,341,723,4.57
17,7,5,31762,353,708,5.71
18,7,5,32533,357,667,5.43
19,7,5,33228,357,694,5.14
20,7,5,33927,363,713,5.71
21,7,5,34655,374,703,6.14
22,7,5,35246,380,707,6.43
23,7,5,36259,386,735,6.43
24,7,5,37249,394,784,5.86
25,7,5,37981,399,778,6
26,7,5,38623,401,771,6.29
27,7,5,39447,408,789,6.43
28,7,5,40181,428,789,7.71
29,7,5,40968,434,817,7.71
30,7,5,41759,442,786,8
31,7,5,42511,453,752,8.43
1,8,5,43173,458,742,8.43
2,8,5,43810,464,741,9
3,8,5,44597,475,736,9.57
4,8,5,45381,490,743,8.86
5,8,5,46293,508,761,10.6
6,8,5,47028,515,753,10.4
7,8,5,48039,521,790,9.71
8,8,5,48811,535,805,11
9,8,5,49383,544,796,11.4
10,8,5,50028,555,776,11.4
11,8,5,50411,566,719,10.9
12,8,5,51114,573,689,9.29
13,8,5,51766,582,677,9.57
14,8,5,52392,587,622,9.43
15,8,5,51992,600,454,9.29
16,8,5,52665,599,469,7.86
17,8,5,53077,603,436,6.86
18,8,5,53487,619,439,7.57
19,8,5,54216,631,443,8.29
20,8,5,54765,641,428,8.43
21,8,5,55652,663,466,10.9
22,8,5,56199,674,601,10.6
23,8,5,56574,687,558,12.6
24,8,5,56894,696,545,13.3
25,8,5,57374,711,555,13.1
26,8,5,58023,732,544,14.4
27,8,5,58745,739,569,14
28,8,5,59583,756,562,13.3
29,8,5,60378,772,597,14
30,8,5,60856,784,612,13.9
31,8,5,61224,797,619,14.4
1,9,5,61497,814,589,14.7
2,9,5,62112,841,584,15.6
3,9,5,63504,861,680,17.4
4,9,5,64678,873,728,16.7
5,9,5,65226,882,693,15.7
6,9,5,65924,894,724,15.7
7,9,5,66280,908,722,15.9
8,9,5,66757,917,751,14.7
9,9,5,67255,928,735,12.4
10,9,5,67803,940,614,11.3
11,9,5,68987,953,616,11.4
12,9,5,69710,969,641,12.4
13,9,5,70219,981,614,12.4
14,9,5,70627,992,621,12
15,9,5,71497,1150,677,33.3
16,9,5,72219,1157,709,32.7
17,9,5,73211,1166,773,32.3
18,9,5,74082,1173,728,31.4
19,9,5,75160,1181,779,30.3
20,9,5,75723,1181,786,28.6
21,9,5,76364,1197,820,29.3
22,9,5,76981,1209,783,8.43
23,9,5,77963,1229,821,10.3
24,9,5,79049,1246,834,11.4
25,9,5,79946,1266,838,13.3
26,9,5,80755,1285,799,14.9
27,9,5,81242,1308,788,18.1
28,9,5,82049,1329,812,18.9
29,9,5,82755,1350,825,20.1
30,9,5,83697,1369,819,20
1,10,5,84821,1384,825,19.7
2,10,5,85779,1391,833,17.9
3,10,5,86525,1407,824,17.4
4,10,5,87013,1425,824,16.7
5,10,5,87430,1447,769,16.9
6,10,5,88071,1469,759,17
7,10,5,88880,1482,740,16.1
8,10,5,90145,1503,761,17
9,10,5,91312,1530,790,19.9
10,10,5,92220,1552,814,20.7
11,10,5,92833,1569,831,20.6
12,10,5,93487,1586,865,19.9
13,10,5,94167,1611,871,20.3
14,10,5,95246,1634,909,21.7
15,10,5,96524,1645,911,20.3
16,10,5,97539,1665,890,19.3
17,10,5,98422,1684,886,18.9
18,10,5,99066,1704,890,19.3
19,10,5,99597,1714,873,18.3
20,10,5,100441,1728,896,16.7
21,10,5,101596,1751,907,16.7
22,10,5,102798,1772,896,18.1
23,10,5,104135,1782,942,16.7
24,10,5,105318,1797,985,16.1
25,10,5,106115,1812,1007,15.4
26,10,5,106727,1833,1019,17
27,10,5,.,.,.,.
