day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,49,0,0,0,0
28,1,49,0,0,0,0
29,1,49,0,0,0,0
30,1,49,0,0,0,0
31,1,49,0,0,0,0
1,2,49,0,0,0,0
2,2,49,0,0,0,0
3,2,49,0,0,0,0
4,2,49,0,0,0,0
5,2,49,0,0,0,0
6,2,49,0,0,0,0
7,2,49,0,0,0,0
8,2,49,0,0,0,0
9,2,49,0,0,0,0
10,2,49,0,0,0,0
11,2,49,0,0,0,0
12,2,49,0,0,0,0
13,2,49,0,0,0,0
14,2,49,0,0,0,0
15,2,49,0,0,0,0
16,2,49,0,0,0,0
17,2,49,0,0,0,0
18,2,49,0,0,0,0
19,2,49,0,0,0,0
20,2,49,0,0,0,0
21,2,49,0,0,0,0
22,2,49,0,0,0,0
23,2,49,0,0,0,0
24,2,49,0,0,0,0
25,2,49,1,0,.143,0
26,2,49,1,0,.143,0
27,2,49,1,0,.143,0
28,2,49,1,0,.143,0
29,2,49,1,0,.143,0
1,3,49,1,0,.143,0
2,3,49,1,0,.143,0
3,3,49,1,0,0,0
4,3,49,1,0,0,0
5,3,49,1,0,0,0
6,3,49,3,0,.286,0
7,3,49,3,0,.286,0
8,3,49,3,0,.286,0
9,3,49,3,0,.286,0
10,3,49,4,0,.429,0
11,3,49,5,0,.571,0
12,3,49,7,0,.857,0
13,3,49,7,0,.571,0
14,3,49,21,0,2.57,0
15,3,49,29,0,3.71,0
16,3,49,40,0,5.29,0
17,3,49,51,0,6.71,0
18,3,49,65,0,8.57,0
19,3,49,80,0,10.4,0
20,3,49,112,0,15,0
21,3,49,138,0,16.7,0
22,3,49,182,1,21.9,.143
23,3,49,257,1,31,.143
24,3,49,299,1,35.4,.143
25,3,49,346,1,40.1,.143
26,3,49,402,1,46,.143
27,3,49,480,2,52.6,.286
28,3,49,608,2,67.1,.286
29,3,49,719,2,76.7,.143
30,3,49,806,4,78.4,.429
31,3,49,887,5,84,.571
1,4,49,1012,7,95.1,.857
2,4,49,1077,7,96.4,.857
3,4,49,1248,7,110,.714
4,4,49,1426,8,117,.857
5,4,49,1618,8,128,.857
6,4,49,1662,13,122,1.29
7,4,49,1737,13,121,1.14
8,4,49,1860,13,121,.857
9,4,49,1980,13,129,.857
10,4,49,2103,17,122,1.43
11,4,49,2208,18,112,1.43
12,4,49,2305,18,98.1,1.43
13,4,49,2368,18,101,.714
14,4,49,2420,19,97.6,.857
15,4,49,2549,20,98.4,1
16,4,49,2687,21,101,1.14
17,4,49,2813,23,101,.857
18,4,49,2942,25,105,1
19,4,49,3071,27,109,1.29
20,4,49,3213,28,121,1.43
21,4,49,3301,32,126,1.86
22,4,49,3451,34,129,2
23,4,49,3621,35,133,2
24,4,49,3782,39,138,2.29
25,4,49,3950,41,144,2.29
26,4,49,4123,41,150,2
27,4,49,4236,41,146,1.86
28,4,49,4343,45,149,1.86
29,4,49,4499,45,150,1.57
30,4,49,4672,46,150,1.57
1,5,49,4829,46,150,1
2,5,49,4981,49,147,1.14
3,5,49,5175,50,150,1.29
4,5,49,5326,50,156,1.29
5,5,49,5449,56,158,1.57
6,5,49,5605,59,158,2
7,5,49,5724,61,150,2.14
8,5,49,5919,61,156,2.14
9,5,49,6103,66,160,2.43
10,5,49,6251,67,154,2.43
11,5,49,6364,68,148,2.57
12,5,49,6454,73,144,2.43
13,5,49,6624,76,146,2.43
14,5,49,6760,76,148,2.14
15,5,49,6930,77,144,2.29
16,5,49,7068,78,138,1.71
17,5,49,7238,80,141,1.86
18,5,49,7384,80,146,1.71
19,5,49,7530,88,154,2.14
20,5,49,7717,90,156,2
21,5,49,7876,92,159,2.29
22,5,49,8057,93,161,2.29
23,5,49,8260,97,170,2.71
24,5,49,8392,97,165,2.43
25,5,49,8521,98,162,2.57
26,5,49,8622,101,156,1.86
27,5,49,8710,105,142,2.14
28,5,49,8953,106,154,2
29,5,49,9282,107,175,2
30,5,49,9551,112,184,2.14
31,5,49,9829,113,205,2.29
1,6,49,10026,113,215,2.14
2,6,49,10237,113,231,1.71
3,6,49,10558,117,264,1.71
4,6,49,10858,117,272,1.57
5,6,49,11344,120,295,1.86
6,6,49,11866,121,331,1.29
7,6,49,12084,121,322,1.14
8,6,49,12378,124,336,1.57
9,6,49,12639,127,343,2
10,6,49,12982,128,346,1.57
11,6,49,13366,131,358,2
12,6,49,13681,139,334,2.71
13,6,49,14061,139,314,2.57
14,6,49,14313,139,318,2.57
15,6,49,14757,143,340,2.71
16,6,49,15077,145,348,2.57
17,6,49,15464,149,355,3
18,6,49,16015,152,378,3
19,6,49,16585,155,415,2.29
20,6,49,17173,155,445,2.29
21,6,49,17567,158,465,2.71
22,6,49,18035,158,468,2.14
23,6,49,18454,163,482,2.57
24,6,49,18915,163,493,2
25,6,49,19544,164,504,1.71
26,6,49,20218,166,519,1.57
27,6,49,20735,167,509,1.71
28,6,49,21155,167,513,1.29
29,6,49,21818,168,540,1.43
30,6,49,22364,172,559,1.29
1,7,49,22864,173,564,1.43
2,7,49,23466,176,560,1.71
3,7,49,24070,181,550,2.14
4,7,49,24717,181,569,2
5,7,49,25005,184,550,2.43
6,7,49,25653,190,548,3.14
7,7,49,26203,194,548,3.14
8,7,49,26921,201,580,4
9,7,49,27632,205,595,4.14
10,7,49,28452,207,626,3.71
11,7,49,29071,212,622,4.43
12,7,49,29552,215,650,4.43
13,7,49,30282,216,661,3.71
14,7,49,30774,226,653,4.57
15,7,49,31228,233,615,4.57
16,7,49,31908,234,611,4.14
17,7,49,32572,238,589,4.43
18,7,49,33430,243,623,4.43
19,7,49,34117,243,652,4
20,7,49,34526,249,606,4.71
21,7,49,35089,255,616,4.14
22,7,49,35677,262,636,4.14
23,7,49,36178,271,610,5.29
24,7,49,37063,277,642,5.57
25,7,49,37623,278,599,5
26,7,49,37973,278,551,5
27,7,49,38439,285,559,5.14
28,7,49,38877,290,541,5
29,7,49,39339,297,523,5
30,7,49,39714,303,505,4.57
31,7,49,40258,308,456,4.43
1,8,49,40754,312,447,4.86
2,8,49,41175,313,457,5
3,8,49,41571,317,447,4.57
4,8,49,42018,324,449,4.86
5,8,49,42478,330,448,4.71
6,8,49,43032,332,474,4.14
7,8,49,43530,337,467,4.14
8,8,49,43821,336,438,3.43
9,8,49,44130,337,422,3.43
10,8,49,44487,346,417,4.14
11,8,49,44836,350,403,3.71
12,8,49,45181,355,386,3.57
13,8,49,45537,358,358,3.71
14,8,49,46048,362,360,3.57
15,8,49,46413,364,370,4
16,8,49,46652,364,360,3.86
17,8,49,46936,366,350,2.86
18,8,49,47285,372,350,3.14
19,8,49,47647,379,352,3.43
20,8,49,48103,384,367,3.71
21,8,49,48616,385,367,3.29
22,8,49,48950,387,362,3.29
23,8,49,49125,387,353,3.29
24,8,49,49451,391,359,3.57
25,8,49,49870,398,369,3.71
26,8,49,50298,404,379,3.57
27,8,49,50668,404,366,2.86
28,8,49,51071,408,351,3.29
29,8,49,51486,408,362,3
30,8,49,51854,408,390,3
31,8,49,52166,409,388,2.57
1,9,49,52505,410,376,1.71
2,9,49,52950,414,379,1.43
3,9,49,53412,416,392,1.71
4,9,49,53940,420,410,1.71
5,9,49,54364,421,411,1.86
6,9,49,54660,423,401,2.14
7,9,49,55052,424,412,2.14
8,9,49,55424,426,417,2.29
9,9,49,55730,428,397,2
10,9,49,56182,431,396,2.14
11,9,49,56789,433,407,1.86
12,9,49,57276,434,416,1.86
13,9,49,57892,434,462,1.57
14,9,49,58451,436,486,1.71
15,9,49,59017,436,513,1.43
16,9,49,59770,437,577,1.29
17,9,49,60662,437,640,.857
18,9,49,61786,437,714,.571
19,9,49,62893,440,802,.857
20,9,49,63774,440,840,.857
21,9,49,64404,441,850,.714
22,9,49,65058,443,863,1
23,9,49,65948,444,883,1
24,9,49,67167,444,929,1
25,9,49,68537,448,964,1.57
26,9,49,69556,448,952,1.14
27,9,49,70616,453,977,1.86
28,9,49,71442,453,1005,1.71
29,9,49,72136,457,1011,2
30,9,49,73053,460,1015,2.29
1,10,49,74099,460,990,2.29
2,10,49,75175,474,948,3.71
3,10,49,76231,476,954,4
4,10,49,77618,478,1000,3.57
5,10,49,78733,483,1042,4.29
6,10,49,79449,489,1045,4.57
7,10,49,80522,499,1067,5.57
8,10,49,81975,504,1125,6.29
9,10,49,83307,508,1162,4.86
10,10,49,84697,512,1209,5.14
11,10,49,85844,518,1175,5.71
12,10,49,86879,524,1164,5.86
13,10,49,87825,524,1197,5
14,10,49,89018,529,1214,4.29
15,10,49,90488,531,1216,3.86
16,10,49,91966,539,1237,4.43
17,10,49,93297,541,1229,4.14
18,10,49,94394,544,1221,3.71
19,10,49,95572,547,1242,3.29
20,10,49,96643,552,1260,4
21,10,49,98037,558,1288,4.14
22,10,49,99563,563,1296,4.57
23,10,49,101574,567,1373,4
24,10,49,103137,568,1406,3.86
25,10,49,105053,572,1523,4
26,10,49,106083,575,1502,4
27,10,49,.,.,.,.
