day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,51,0,0,0,0
28,1,51,0,0,0,0
29,1,51,0,0,0,0
30,1,51,0,0,0,0
31,1,51,0,0,0,0
1,2,51,0,0,0,0
2,2,51,0,0,0,0
3,2,51,0,0,0,0
4,2,51,0,0,0,0
5,2,51,0,0,0,0
6,2,51,0,0,0,0
7,2,51,0,0,0,0
8,2,51,0,0,0,0
9,2,51,0,0,0,0
10,2,51,0,0,0,0
11,2,51,0,0,0,0
12,2,51,0,0,0,0
13,2,51,0,0,0,0
14,2,51,0,0,0,0
15,2,51,0,0,0,0
16,2,51,0,0,0,0
17,2,51,0,0,0,0
18,2,51,0,0,0,0
19,2,51,0,0,0,0
20,2,51,0,0,0,0
21,2,51,0,0,0,0
22,2,51,0,0,0,0
23,2,51,0,0,0,0
24,2,51,0,0,0,0
25,2,51,0,0,0,0
26,2,51,0,0,0,0
27,2,51,0,0,0,0
28,2,51,0,0,0,0
29,2,51,0,0,0,0
1,3,51,0,0,0,0
2,3,51,0,0,0,0
3,3,51,0,0,0,0
4,3,51,0,0,0,0
5,3,51,0,0,0,0
6,3,51,0,0,0,0
7,3,51,1,0,.143,0
8,3,51,2,0,.286,0
9,3,51,5,0,.714,0
10,3,51,8,0,1.14,0
11,3,51,10,0,1.43,0
12,3,51,17,0,2.43,0
13,3,51,30,0,4.29,0
14,3,51,42,1,5.86,.143
15,3,51,45,1,6.14,.143
16,3,51,51,1,6.57,.143
17,3,51,67,2,8.43,.286
18,3,51,78,2,9.71,.286
19,3,51,94,2,11,.286
20,3,51,115,2,12.1,.286
21,3,51,152,3,15.7,.286
22,3,51,219,6,24.9,.714
23,3,51,254,6,29,.714
24,3,51,291,7,32,.714
25,3,51,390,9,44.6,1
26,3,51,603,14,72.7,1.71
27,3,51,605,14,70,1.71
28,3,51,739,17,83.9,2
29,3,51,889,22,95.7,2.29
30,3,51,1020,26,109,2.86
31,3,51,1249,27,137,2.86
1,4,51,1511,18,160,1.29
2,4,51,1706,18,158,.571
3,4,51,2011,46,201,4.57
4,4,51,2408,52,238,5
5,4,51,2636,52,250,4.29
6,4,51,2877,54,265,4
7,4,51,3332,69,298,6
8,4,51,3644,60,305,6
9,4,51,4041,109,334,13
10,4,51,4509,121,357,10.7
11,4,51,5076,130,381,11.1
12,4,51,5273,141,377,12.7
13,4,51,5746,149,410,13.6
14,4,51,6173,154,406,12.1
15,4,51,6502,195,408,19.3
16,4,51,6891,208,407,14.1
17,4,51,7492,238,426,16.7
18,4,51,8053,258,425,18.3
19,4,51,8536,277,466,19.4
20,4,51,8989,300,463,21.6
21,4,51,9629,325,494,24.4
22,4,51,10265,349,538,22
23,4,51,10999,375,587,23.9
24,4,51,11595,413,586,25
25,4,51,12365,436,616,25.4
26,4,51,12969,448,633,24.4
27,4,51,13534,458,649,22.6
28,4,51,14338,492,673,23.9
29,4,51,14961,522,671,24.7
30,4,51,15846,552,692,25.3
1,5,51,16901,581,758,24
2,5,51,17731,616,767,25.7
3,5,51,18671,660,815,30.3
4,5,51,19492,684,851,32.3
5,5,51,20256,713,845,31.6
6,5,51,20256,713,756,27.3
7,5,51,21570,769,818,31
8,5,51,22342,812,777,33
9,5,51,23196,827,781,30.1
10,5,51,24081,839,773,25.6
11,5,51,25070,850,797,23.7
12,5,51,25800,891,792,25.4
13,5,51,26746,927,927,30.6
14,5,51,27813,955,892,26.6
15,5,51,28672,977,904,23.6
16,5,51,29683,1002,927,25
17,5,51,30388,1009,901,24.3
18,5,51,31140,1014,867,23.4
19,5,51,32145,1041,906,21.4
20,5,51,32908,1074,880,21
21,5,51,34137,1099,903,20.6
